k,l,m,n,o,p,q,r,s,t,u,v,w,x,y
1,0,9.955,0.052,1,10.87,1,2.251,0,0,1,1,0,0,0
0,0,10.074,0,0,0,6,2.247,6,0,0,2,0,0,1
2,0,10.136,-2.254,0,20.766,4,2.288,2,0,0,0,0,0,1
0,0,10.432,-0.945,0,23.321,4,2.156,0,0,0,4,0,0,1
0,0,8.881,0,0,0,2,1.919,0,0,0,2,0,0,0
3,0,10.35,-0.439,2,11.622,3,2.286,1,0,0,0,0,0,1
1,0,10.014,0.083,0,10.994,2,2.189,0,0,0,1,0,0,1
0,0,8.755,-0.211,0,9.822,2,1.902,0,0,0,2,0,0,1
0,0,6.594,0,0,0,0,1.414,0,0,0,1,0,0,0
0,0,10.195,0.238,0,11.181,2,2.094,0,0,0,2,0,0,1
3,0,10.89,0,3,0,0,2.49,0,1,0,0,0,0,0
0,0,10.725,-0.443,0,11.395,4,2.288,2,0,0,6,0,0,0
2,0,9.911,-1.113,1,10.262,3,2.267,2,0,0,0,0,0,1
0,0,8.597,0.09,0,0,0,1.848,0,0,0,0,0,0,0
0,0,10.295,0.171,0,22.913,3,2.36,0,0,0,1,0,0,1
0,0,11.367,-1.343,0,52.856,8,2.361,0,0,0,8,0,0,0
2,0,10.164,-0.393,1,21.814,2,2.236,1,0,1,2,0,0,1
3,0,10.338,0,1,0,0,2.322,0,1,0,0,0,0,0
0,0,9.728,0,0,0,0,2.303,0,0,2,0,0,0,0
2,0,9.668,0,1,0,0,2.222,0,1,1,0,0,0,0
0,0,9.902,0,0,0,2,2.263,2,0,0,0,0,0,0
3,0,11.208,0,0,0,0,2.449,0,0,0,9,0,0,0
0,0,9.067,-0.546,0,9.799,3,2.115,0,0,0,0,0,0,1
0,0,9.309,-2.514,0,19.107,4,2,2,0,0,0,0,0,1
2,0,9.579,0,2,0,2,2.194,2,0,0,0,0,0,1
0,0,9.296,0,0,0,1,1.956,1,0,0,2,0,0,1
0,0,10.588,0,0,11.913,4,2.242,1,0,0,4,0,0,0
0,0,9.874,0,0,0,2,2.136,2,0,0,4,0,0,0
4,0,11.278,0,1,0,1,2.491,1,0,0,9,0,0,0
0,0,10.082,-0.653,0,10.389,2,1.996,1,0,0,0,0,0,1
2,0,9.54,0,2,0,1,2.17,3,0,1,0,0,0,0
4,0,10.568,-1.992,0,21.451,4,2.396,2,0,0,0,0,0,0
0,0,7.853,0,0,0,2,1.732,1,0,0,1,0,0,1
2,0,9.882,0,1,0,0,2.236,2,0,1,2,0,0,0
3,0,9.863,0,0,0,0,2.264,0,0,0,3,0,0,0
0,0,10.039,0,0,0,1,1.987,1,0,0,2,0,0,1
0,0,8.318,-0.333,0,9.222,1,1.732,2,0,1,1,0,0,1
4,0,11.033,0,1,0,1,2.463,1,0,0,7,0,0,0
0,0,8.597,-0.481,0,9.472,1,1.848,2,0,1,0,0,0,1
0,0,10.694,-0.338,0,11.724,6,2.361,3,0,0,1,0,0,1
0,0,10.054,0,0,0,0,2.194,0,0,2,0,0,0,0
2,0,9.579,0,2,0,1,2.194,1,1,0,0,0,0,0
0,0,8.755,-0.329,0,9.75,2,1.902,0,0,0,1,0,0,1
2,0,9.579,0,1,0,0,2.194,0,1,0,1,0,0,0
2,0,9.714,0,1,10.165,2,2.214,0,0,0,0,0,0,1
2,0,9.54,0,1,0,0,2.17,2,0,1,1,0,0,0
1,0,10.315,0,0,0,2,2.315,1,0,0,2,0,0,0
2,0,10.388,0,2,21.362,2,2.311,4,0,2,0,0,0,0
3,1,10.099,0,3,20.422,2,2.303,0,1,1,0,0,0,0
3,0,9.967,0,2,10.249,3,2.283,1,0,0,0,0,0,1
3,1,10.099,0,3,20.322,3,2.305,1,1,1,0,0,0,0
0,0,10.091,-0.318,0,10.582,4,2.274,0,0,0,3,0,0,1
2,1,9.947,0,2,20.331,3,2.251,0,0,1,0,0,0,0
1,0,9.183,0,1,0,0,2.101,2,0,1,0,0,0,1
4,0,10.32,0,0,0,0,2.312,0,0,0,2,0,0,0
2,0,10.239,-0.288,0,11.596,2,2.247,0,0,0,0,0,0,1
0,0,9.917,-1.396,0,20.53,4,2,2,0,0,0,0,0,1
1,0,9.665,0,0,0,0,2.175,0,0,1,0,0,0,0
0,0,10.32,-0.855,0,23.157,4,2.105,0,0,0,2,0,0,1
0,0,10.762,0,2,0,3,2.377,0,1,1,2,0,0,0
0,0,8.597,-0.259,0,9.583,1,1.848,2,0,1,1,0,0,0
0,0,10.42,-0.024,0,11.379,2,2.318,0,0,0,4,0,0,0
6,0,10.814,-0.416,6,11.973,2,2.438,0,1,0,1,0,0,0
2,1,9.911,0,2,20.295,2,2.267,2,0,2,0,0,0,0
0,0,10.678,0,0,12.579,4,2.34,0,1,0,6,0,0,0
12,0,11.151,0,10,0,0,2.532,0,1,0,0,0,0,0
2,0,9.805,0,0,0,0,2.323,1,0,1,0,0,0,1
0,0,10.121,0,0,0,3,2.303,3,0,3,3,0,0,1
0,0,9.707,0,0,0,0,1.978,0,0,0,2,0,0,1
0,0,9.562,-0.558,0,21.071,3,2.074,0,0,0,2,0,0,1
0,0,9.625,-1.068,0,20.772,4,2.044,1,0,0,1,0,0,1
0,0,8.723,0,0,0,1,2.214,0,0,0,1,0,0,1
0,0,10.577,0,0,0,0,2.329,4,0,2,2,0,0,0
0,0,8.815,0,0,0,2,1.932,2,0,0,2,0,0,1
0,0,9.966,0,0,0,2,2.175,0,0,0,2,0,0,0
5,0,11.165,0,3,44.995,6,2.511,4,0,1,0,0,0,0
0,0,11.504,-1.429,0,53.149,8,2.338,0,0,0,4,0,0,0
2,0,10.545,0,1,0,3,2.402,0,0,0,0,0,0,0
1,0,10.014,-1.424,0,21.295,3,2.23,2,0,1,0,0,0,1
0,0,10.026,0,0,18.861,2,2.175,0,0,1,0,0,0,0
4,0,10.4,0,0,0,0,2.414,0,0,0,0,0,0,0
0,0,9.311,0,0,0,0,2.136,0,0,1,0,0,0,0
3,0,10.15,0,2,0,1,2.264,0,0,0,1,0,0,0
0,0,9.312,-0.056,0,10.319,1,2.053,0,0,1,0,0,0,0
0,0,10.919,0.787,0,23.572,3,2.596,0,0,0,3,0,0,0
0,0,9.209,0,0,9.774,2,2.152,0,0,0,0,0,0,1
0,0,9.183,0,0,0,1,2.101,1,0,0,0,0,0,1
0,0,8.743,0,0,0,1,1.902,1,0,0,2,0,0,1
0,0,9.312,0.086,0,10.19,2,2.053,0,0,0,1,0,0,1
4,0,10.936,0,2,0,2,2.488,2,0,0,0,0,0,0
6,0,11.98,-3.631,4,24.703,4,2.508,3,0,2,8,0,0,0
0,0,11.324,0,0,0,4,2.455,0,0,0,9,0,0,0
0,0,10.063,-0.678,0,10.339,3,2.054,2,0,0,1,0,0,1
3,0,9.833,0,1,0,1,2.246,1,0,0,2,0,0,1
0,0,9.666,-2.498,0,19.617,4,2.117,4,0,1,0,0,0,1
2,0,9.54,0,0,0,0,2.175,0,0,0,2,0,0,1
5,1,11.11,0,5,47.783,4,2.428,2,0,3,0,0,0,0
2,0,10.741,1.199,0,0,0,2.366,0,0,0,2,0,0,0
3,0,10.144,-0.44,1,10.87,2,2.278,1,0,1,2,0,0,0
9,0,11.207,-0.848,5,25.591,4,2.558,3,0,1,0,1,0,0
4,0,10.4,0,4,0,0,2.414,1,0,1,0,0,0,0
4,2,10.598,0,2,42.927,4,2.441,0,0,2,0,0,0,0
0,0,10.004,-0.654,0,10.334,2,2,1,0,0,2,0,0,1
0,0,9.183,0.464,0,10.463,1,2.101,0,0,0,0,0,0,1
0,0,10.278,-1.5,0,32.786,4,2.358,0,0,0,2,0,0,1
0,0,9.067,0,0,0,0,2.115,3,0,4,0,0,0,0
10,0,11.593,-2.162,6,49.914,4,2.393,2,1,6,4,0,0,0
0,0,8.881,0,0,0,0,1.919,0,0,1,1,0,0,1
6,0,11.432,0,2,0,0,2.431,1,0,1,4,0,0,0
3,0,10.458,0,1,0,1,2.325,1,0,0,2,0,0,0
0,0,9.345,-0.195,0,10.191,2,2.042,0,0,0,3,0,0,1
0,0,9.533,-1.68,0,19.933,4,2,2,0,0,0,0,0,1
0,0,10.284,0,0,0,0,2.518,0,0,0,0,0,0,0
6,0,10.51,0,4,0,0,2.439,0,1,2,0,0,0,0
0,0,9.562,2.487,0,10.02,1,2.048,0,0,0,3,0,0,1
0,0,10.56,-0.117,0,23.699,4,2.13,0,0,0,4,0,0,1
0,0,10.026,-1.461,0,9.625,2,2.175,1,0,0,1,0,0,0
4,0,10.947,0.355,2,24.736,2,2.529,2,0,2,0,0,0,0
5,0,10.837,0,3,21.854,4,2.442,4,0,1,0,0,0,0
0,0,8.944,-0.359,0,10.072,2,1.97,0,0,0,1,0,0,1
0,0,9.999,-1.569,0,21.678,7,2.061,0,0,0,0,0,0,1
2,0,10.236,0.124,0,11.885,1,2.305,0,0,1,3,0,0,0
0,0,9.867,-0.664,0,10.324,2,1.993,1,0,0,1,0,0,1
2,0,9.882,-0.931,1,10.271,2,2.236,3,0,1,0,0,0,1
0,0,10.222,0.135,0,11.381,1,2.306,1,0,2,1,0,0,0
3,0,9.833,0,1,0,0,2.246,2,0,1,2,0,0,0
0,0,6.594,0,0,0,0,1.414,0,0,1,1,0,0,1
1,0,9.391,0,0,0,1,2.149,1,0,0,1,0,0,1
0,0,12.421,0,0,0,0,2.694,0,0,1,3,0,0,0
0,0,9.338,-0.082,0,10.622,2,2.011,0,0,0,1,0,0,0
3,0,9.803,0,0,0,0,2.236,0,0,0,3,0,0,0
0,0,9.968,0,0,20.417,3,2.256,0,0,0,0,0,0,1
2,0,9.882,-0.872,0,10.353,2,2.243,1,0,0,1,0,0,1
1,0,9.311,0,0,0,0,2.136,0,0,1,0,0,0,1
2,0,9.579,0,2,0,0,2.194,2,1,1,0,0,0,0
2,0,9.947,0,1,0,1,2.251,1,0,0,2,0,0,0
2,0,9.9,-0.074,2,10.556,1,2.22,3,0,2,1,0,0,0
0,0,4.174,0,0,0,0,1,4,0,2,0,0,1,0
2,0,9.54,0,1,0,0,2.175,2,0,1,1,0,0,0
3,0,10.363,-0.393,3,11.353,2,2.296,1,1,2,0,0,0,0
0,0,8.394,0,0,0,0,1.848,0,0,0,2,0,0,1
5,0,10.784,-0.514,1,24.305,3,2.518,1,0,0,0,0,0,0
0,0,8.482,0,0,0,1,2.17,0,0,0,1,0,0,1
0,0,11.905,-4.279,0,9.723,2,2.648,1,0,0,1,0,0,0
2,0,9.911,-0.995,1,10.337,2,2.267,1,1,0,0,0,0,0
0,0,9.184,-1.21,0,9.435,2,2,1,0,0,1,0,0,1
0,0,11.51,-3.753,0,22.691,4,2.789,2,1,0,0,0,0,0
5,0,10.772,-0.252,1,24.37,2,2.508,2,0,1,0,0,0,0
4,0,11.103,0,0,0,0,2.562,0,0,0,0,0,0,0
5,0,10.418,0,3,0,1,2.426,1,1,0,0,0,0,0
0,0,10.675,0.253,0,24.053,2,2.086,2,0,2,2,0,0,0
3,0,10.309,-0.79,0,10.612,2,2.376,1,0,0,0,0,0,0
0,0,10.694,-1.839,0,33.525,6,2.315,0,0,0,1,0,0,0
0,0,9.11,0,0,0,0,1.942,0,0,0,2,1,0,0
2,0,9.971,0,2,0,0,2.236,1,0,1,0,0,0,0
0,0,10.649,0,0,12.499,4,2.284,0,0,0,3,1,0,0
3,0,9.863,0,3,0,0,2.264,0,1,0,0,0,0,0
2,0,10.236,-0.952,0,22.204,4,2.307,0,0,0,0,0,0,1
3,1,10.498,-3.157,1,42.199,6,2.404,2,0,1,0,0,0,0
1,0,9.311,0,1,0,0,2.136,1,0,1,0,0,0,0
4,0,11.127,-0.647,2,25.24,3,2.551,1,0,1,0,1,0,0
0,0,9.867,-0.671,0,10.319,2,1.993,1,0,0,1,0,0,1
0,0,9.222,-0.741,0,9.797,2,2,0,1,0,2,0,0,0
2,0,9.955,0,0,0,0,2.278,0,0,0,0,0,0,1
6,0,10.761,-1.749,4,22.449,3,2.534,0,1,0,0,0,0,0
2,0,10.828,-0.224,0,23.61,4,2.283,0,0,2,0,0,0,0
1,0,9.642,-0.879,0,10.201,2,2.194,1,0,0,0,0,0,1
0,0,9.692,0.254,0,11.274,1,2.066,1,0,1,0,0,0,0
0,0,7.286,0,0,0,1,2,0,0,0,0,0,0,1
3,0,10.15,-1.05,3,10.157,3,2.281,1,1,0,0,0,0,0
0,0,9.972,0.266,0,11.089,2,2.212,0,0,0,1,0,0,1
0,0,6.594,0,0,8.361,2,1.414,1,0,0,0,0,0,1
2,0,9.882,1.014,1,0,1,2.236,1,0,0,1,0,0,0
12,0,11.151,0,10,0,0,2.532,0,0,0,0,1,0,0
4,0,10.327,0,2,0,0,2.363,0,1,0,0,0,0,0
4,0,10.644,0,3,21.468,3,2.396,3,1,1,1,0,0,0
1,0,9.972,-0.959,0,10.379,2,2.212,3,0,1,0,0,0,1
3,0,9.863,0,2,0,0,2.264,0,1,0,1,0,0,0
1,0,10.289,0,0,0,0,2.334,4,0,5,0,0,0,0
4,0,10.7,0,4,0,1,2.35,0,0,0,2,1,0,0
0,0,10.926,0,0,0,1,2.62,1,0,0,3,0,0,1
4,0,10.484,0,0,0,0,2.33,0,0,1,1,0,0,0
0,0,9.882,3.12,0,0,0,2.236,0,0,0,3,0,0,1
0,0,8.743,0,0,0,0,1.902,1,0,1,2,0,0,1
0,0,9.467,-0.104,0,10.469,3,2.084,1,0,0,2,0,0,1
4,0,11.115,-0.278,4,12.059,3,2.473,0,1,2,5,0,0,0
2,0,9.975,-0.907,1,10.541,2,2.288,2,0,1,0,0,0,1
0,0,9.54,-0.603,0,20.392,2,2.17,2,0,2,0,0,1,0
1,0,9.642,0,1,0,0,2.194,0,1,0,0,0,0,0
1,0,10.25,0,1,21.221,2,2.288,2,0,1,0,0,0,0
3,0,10.084,0,1,0,1,2.351,1,0,1,0,0,0,0
2,1,9.975,0,2,20.612,3,2.288,0,0,1,0,0,0,0
0,0,9.391,0,0,0,0,2.149,3,0,3,1,0,0,0
0,0,9.454,-0.913,0,20.676,3,2.074,0,0,0,2,0,0,1
4,0,10.634,-0.761,0,22.765,4,2.403,0,0,0,0,0,0,0
2,0,9.911,0,0,0,0,2.267,0,0,0,3,0,0,0
0,0,10.952,-0.95,0,34.898,6,2.328,0,0,0,4,0,0,0
6,0,10.434,0,5,0,0,2.414,0,0,0,1,1,0,0
8,0,11.361,0,4,0,2,2.449,2,0,0,8,0,0,0
2,0,9.54,0,2,0,0,2.17,0,0,0,0,1,0,0
2,0,10.226,-0.601,0,21.888,2,2.424,1,0,1,0,0,0,1
3,0,10.332,-0.383,1,22.051,2,2.297,1,0,1,3,0,0,0
0,0,9.956,-3.537,0,19.544,6,2.214,4,0,0,0,0,0,1
0,0,7.853,0,0,9.405,1,1.732,0,0,0,1,0,0,1
0,0,9.814,0,0,0,0,1.981,0,0,0,2,0,0,0
6,1,10.966,0,6,21.618,2,2.374,0,1,6,0,0,0,0
2,0,9.749,0,0,0,0,2.247,0,0,0,1,0,0,0
2,1,9.911,0,1,20.455,2,2.267,0,0,1,1,0,0,0
0,0,8.597,0,0,0,0,1.848,2,0,1,3,0,0,1
6,0,10.577,0,4,0,0,2.329,4,1,2,0,0,0,0
2,0,9.974,0,1,0,1,2.282,1,0,0,2,0,0,0
0,0,10.416,-0.947,0,10.57,2,2.218,0,0,1,1,0,0,1
0,0,10.091,0.168,0,10.538,2,2.194,0,0,0,3,0,0,0
7,1,10.931,0,4,22.238,3,2.418,1,0,3,1,0,0,0
3,0,9.803,0,3,0,1,2.236,1,1,0,0,0,0,0
0,0,9.666,-2.748,0,19.662,4,2.117,2,0,0,0,0,0,1
0,0,7.853,0,0,0,0,1.732,2,0,1,2,0,0,1
6,0,11.058,0,6,0,1,2.466,0,1,0,3,0,0,0
1,0,9.311,0,1,0,1,2.136,0,0,0,0,0,0,1
2,0,9.805,0,0,0,0,2.323,0,0,1,0,0,0,0
2,0,9.668,0,1,10.143,1,2.222,0,1,0,0,0,0,0
0,0,9.649,0,0,0,1,1.975,1,0,0,2,0,0,1
0,0,10.56,0,0,0,0,2.121,0,0,0,3,0,0,0
1,0,9.391,0,0,0,0,2.149,0,1,0,1,0,0,0
0,0,12.164,0,0,0,1,2.676,1,0,0,2,0,0,0
0,0,7.853,0,0,0,0,1.732,0,0,0,2,0,0,1
4,0,10.866,-0.016,3,11.888,4,2.394,0,1,0,0,0,0,0
0,0,10.717,-0.794,0,11.784,6,2.291,6,0,1,2,0,0,0
0,0,9.872,0,0,0,2,2.112,1,0,0,4,0,0,0
0,0,9.803,-2.406,0,30.54,3,2.236,3,0,3,0,0,0,0
2,0,9.631,0,0,10.118,1,2.194,0,0,0,1,0,0,1
2,0,9.82,0,0,10.332,1,2.224,0,0,0,1,0,0,0
0,0,9.828,-0.987,0,10.217,2,2.098,7,0,4,0,0,0,1
0,0,9.183,0,0,0,0,2.101,0,0,1,1,0,0,0
0,0,10.681,0.374,0,11.254,1,2.394,1,0,1,4,0,0,0
3,0,10.524,0,2,21.363,3,2.368,3,0,1,1,0,0,0
0,0,10.648,0,0,0,4,2.358,0,0,0,8,0,0,1
0,0,8.623,0,0,0,0,2,0,0,0,0,0,0,1
0,0,10.425,-0.779,0,22.241,3,2.31,0,0,0,1,0,0,0
0,0,9.54,0,0,0,0,2.175,0,1,1,0,0,0,0
0,0,9.454,0,0,0,0,2.074,1,0,1,4,0,0,0
0,0,9.059,0,0,0,2,2,2,0,0,3,0,0,1
0,0,9.812,0,0,0,1,2.38,0,1,0,2,0,0,0
1,0,9.722,0.008,0,10.506,1,2.166,1,0,1,1,0,0,1
0,0,10.513,-0.228,0,23.602,4,2.08,0,0,0,2,0,0,1
3,0,10.084,0,0,0,0,2.351,0,0,0,1,0,0,0
0,0,9.666,-2.845,0,19.412,5,2.117,3,0,0,0,0,0,1
5,0,10.784,-0.309,1,24.44,2,2.518,2,0,1,0,0,0,0
3,0,10.509,0,3,0,0,2.283,2,0,2,2,0,0,0
0,0,10.165,-0.239,0,10.355,3,2.175,0,0,0,3,0,0,1
3,2,10.309,0,2,41.299,4,2.338,0,0,2,1,0,0,0
0,0,9.956,-2.409,0,20.21,4,2.214,2,0,0,0,1,0,0
0,0,9.765,0.094,0,10.698,3,2.256,0,0,0,1,0,0,1
2,0,10.241,-0.464,1,11.465,3,2.29,1,0,0,2,0,0,1
2,0,10.193,0.075,0,11.846,1,2.307,0,0,0,0,0,0,0
2,0,10.84,0,0,0,0,2.381,0,0,0,2,0,0,0
6,0,10.964,-0.132,0,25.26,2,2.548,0,0,0,0,0,0,0
0,0,9.598,0,0,0,0,2,0,0,2,0,0,0,0
0,0,10.969,-0.557,0,24.195,2,2.504,0,0,1,1,0,0,0
2,0,9.54,0,1,0,0,2.17,0,1,0,1,0,0,0
2,0,10.306,0,0,0,1,2.334,0,0,0,1,0,0,0
2,0,9.54,0,2,0,1,2.175,1,1,0,0,0,0,0
2,0,10.523,0,1,0,3,2.307,0,0,1,0,0,0,0
2,0,10.46,0,0,0,0,2.384,1,0,2,0,0,0,0
2,0,10.388,0,1,21.444,2,2.311,2,0,1,1,0,0,0
0,0,9.16,-0.33,0,10.346,2,2,0,0,0,1,0,0,1
0,0,12.012,0,0,0,1,2.66,1,0,0,2,0,0,0
0,0,10.2,0,0,11.647,4,2.25,0,0,0,3,0,0,0
2,1,10.136,-1.093,1,30.593,4,2.278,1,0,1,0,0,0,1
0,0,10.165,1.296,0,0,1,2.175,1,0,0,3,0,0,1
6,0,10.568,0,2,0,0,2.368,4,0,2,2,0,0,0
0,0,10.776,-0.214,0,23.914,4,2.08,0,0,0,2,0,0,1
0,0,10.053,0,0,0,2,2.236,2,0,0,4,1,0,0
1,0,9.722,-0.242,0,10.395,2,2.166,0,0,0,1,0,0,1
0,0,10.379,-0.554,0,23.21,8,2.085,0,0,0,2,0,0,1
3,0,10.174,0,1,0,0,2.369,1,0,1,1,0,0,0
0,0,10.071,-0.804,0,21.065,2,2.175,4,0,3,0,0,0,0
1,0,9.466,0,0,0,1,2.154,1,0,0,1,0,0,1
0,0,9.311,0,0,0,1,2.136,0,0,1,1,0,0,0
0,0,8.815,0,0,0,0,1.932,0,1,0,2,0,0,0
0,0,10.053,0,0,0,4,2.236,4,0,0,4,0,0,0
0,0,9.65,-0.439,0,21.129,2,2.047,6,0,4,0,0,2,0
1,0,9.183,0,1,0,1,2.101,1,0,0,0,0,0,1
0,0,10.388,1.477,0,0,1,2.311,1,0,0,3,0,0,1
2,1,9.947,0,1,20.346,2,2.251,0,1,1,1,0,0,0
0,0,10.617,-2.66,0,35.324,6,2.458,3,0,3,3,0,0,0
0,0,8.412,0,0,0,0,2,1,0,2,0,0,0,1
0,0,9.425,-0.671,0,10.162,2,2.101,1,0,0,2,0,0,1
0,0,7.408,0,0,0,1,1.618,3,0,1,2,0,0,1
3,0,10.166,-0.043,3,10.99,1,2.283,1,1,1,1,0,0,0
4,0,10.06,0,4,0,1,2.303,1,1,0,0,1,0,0
3,0,11.097,0.951,0,0,0,2.527,0,0,1,0,0,0,0
0,0,9.833,1.008,0,0,0,2.246,0,0,2,0,0,0,0
0,0,9.99,-1.384,0,20.829,2,2.194,6,0,4,2,0,0,1
4,0,10.277,-1.291,3,10.313,5,2.343,4,0,0,0,0,0,1
0,0,8.743,0,0,0,0,1.902,0,1,0,2,0,0,1
0,0,9.338,-0.193,0,10.535,2,2.011,1,0,1,1,0,0,1
0,0,8.394,0,0,0,1,1.848,4,0,2,2,0,0,0
2,0,9.54,0,2,0,0,2.17,0,1,0,0,0,0,0
3,0,10.632,-0.173,2,12.142,3,2.328,3,0,2,2,0,0,0
0,0,6.594,0,0,0,0,1.414,0,0,0,1,1,0,0
0,0,9.183,0,1,0,0,2.101,2,0,2,0,0,0,0
0,0,10.05,-0.426,0,10.143,3,2.136,0,0,0,4,0,0,0
3,0,10.084,0,1,0,0,2.351,2,0,1,0,0,0,0
3,1,10.099,0,2,20.439,3,2.305,1,0,1,1,0,0,0
2,0,9.631,0,2,0,1,2.2,2,0,1,0,0,0,0
2,0,10.128,0,1,0,1,2.236,1,0,0,1,0,0,0
0,0,6.594,0,0,0,0,1.414,3,0,2,0,0,1,0
0,0,10.136,-2.476,0,20.641,4,2.288,2,0,1,0,0,0,1
0,0,7.853,0,0,0,0,1.732,0,1,0,1,0,0,0
2,0,9.54,0,2,0,1,2.17,1,0,0,0,1,0,0
2,0,10.839,0,0,0,0,2.418,0,0,2,0,0,0,0
0,0,10.106,0,0,0,1,2.175,1,0,0,5,0,0,0
4,0,11.033,0,1,0,2,2.463,2,0,0,7,0,0,0
0,0,9.528,-0.271,0,10.348,4,1.985,0,0,0,2,0,0,1
0,0,10.505,0,0,0,1,2.303,1,1,0,3,0,0,0
2,0,10.405,0,1,21.663,2,2.342,2,0,1,1,0,0,0
0,0,10.889,-3.756,0,46.833,7,2.381,2,0,0,0,0,0,0
2,0,9.668,0,1,0,0,2.222,1,0,1,1,0,0,0
4,0,10.518,-0.203,2,12.066,3,2.369,1,0,0,0,0,0,0
7,0,11.157,0,3,0,1,2.489,1,1,3,4,0,0,0
0,0,10.387,0,0,12.436,4,2.257,0,0,0,3,0,0,0
4,2,11.059,0,3,44.711,4,2.479,0,0,3,3,0,0,0
0,0,8.597,0,0,0,2,1.848,2,0,0,2,0,0,1
0,0,10.094,-2.138,0,20.538,4,2.125,6,0,2,0,0,0,1
2,0,10.388,0,1,0,1,2.318,1,0,0,3,0,0,0
0,0,9.971,0,0,0,0,2.236,1,0,1,0,0,0,1
0,0,11.555,0.654,0,0,0,2.824,0,1,0,0,0,0,0
0,0,9.059,-0.449,0,10.198,2,2,0,0,1,1,0,0,1
0,0,10.335,1.509,0,11.013,1,2.327,0,0,0,3,0,0,0
0,0,9.459,-1.157,0,19.847,3,2.199,0,0,0,0,0,0,1
10,0,11.693,-0.314,5,13.296,3,2.666,1,0,2,1,0,0,0
1,0,10.403,0,1,23.192,2,2.327,1,0,1,1,0,0,0
4,0,10.384,0,0,0,1,2.469,0,0,0,0,0,0,0
0,0,10.467,0,0,0,4,2.211,4,0,2,4,0,0,0
2,0,10.388,0,2,20.836,4,2.311,2,0,0,0,0,0,1
0,0,9.002,0,0,0,4,1.932,1,0,0,1,0,0,1
0,0,9.921,1.18,0,10.844,1,2.262,2,0,2,1,0,0,0
2,0,10.917,0.284,0,24.788,2,2.526,0,0,2,0,0,0,0
8,0,11.131,0,6,0,2,2.475,2,0,0,2,1,0,0
0,0,10.013,0,0,0,2,2.211,0,0,2,0,0,0,0
0,0,12.353,-4.617,0,9.855,2,2.69,1,0,0,1,0,0,0
6,0,10.434,0,6,0,1,2.414,1,0,0,0,1,0,0
0,0,9.118,0,0,0,2,1.962,1,0,0,2,0,0,1
2,0,10.012,0.682,2,0,0,2.364,2,0,2,0,0,0,0
