j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,label
1,0,4.828,0.014,2.233,0,0,0,1.125,0,2,3.3386,0,0,1.219,0,1
1,0,5.365,-0.008,2.402,0,0,0,1.127,1,0,3.1068,0,0,1.217,0,0
1,0,4.842,0.005,3.5,2,0,1,1.127,0,1,3.2871,0,0,1.199,-1.093,1
6,0,5.382,0,2.346,0,0,0,1.104,1,0,2.2507,0,0,1.303,-0.114,0
1,0,5.102,-0.002,2.128,0,0,0,1.127,0,1,3.2259,0,0,1.26,0,0
1,0,5.119,-0.008,2.808,0,0,0,1.08,0,5,3.736,0,0,1.405,0,0
0,0,3.732,-0.181,1.667,0,0,0,1.145,0,0,2.3391,0,0,1.196,0,1
2,0,4.992,0,2.389,4,0,2,1.114,0,4,2.5599,0,0,1.323,0,0
1,0,4.783,-0.024,1.981,2,0,1,1.129,0,1,3.1257,0,0,1.273,0,0
1,0,4.796,0.014,2.8,0,0,0,1.116,0,0,3.1573,0,0,1.248,-0.872,1
1,0,4.783,-0.026,2.537,0,0,0,1.122,0,2,3.3094,0,0,1.216,0,1
0,0,4.303,-0.226,2.778,0,0,0,1.136,0,0,3.0128,0,0,1.28,0,0
1,1,4.807,-0.025,2.5,0,0,0,1.088,0,3,3.3439,0,0,1.415,0,0
1,0,4.303,0.137,2.778,0,0,0,1.139,0,0,2.6696,0,0,1.166,-0.046,1
0,0,4.236,0,2.133,0,0,0,1.136,0,0,3.1869,0,0,1.212,-0.671,1
0,0,4.17,0.441,4.033,1,0,0,1.175,0,0,3.1898,0,0,1.032,-0.968,1
2,0,4.709,-0.001,2.179,0,0,0,1.104,0,1,2.1739,0,0,1.304,0,0
1,0,5.04,0.005,3.611,4,0,2,1.141,0,2,3.8356,0,0,1.204,0,0
3,0,4.91,0.004,2.273,0,0,0,1.098,0,1,2.8789,0,0,1.319,0,1
1,0,4.856,-0.002,2.991,0,0,0,1.115,0,3,3.0864,0,0,1.249,-1.05,0
1,0,4.825,0.014,2.483,0,0,0,1.1,0,2,3.1934,0,0,1.359,0,0
1,0,4.876,0.001,2.833,0,0,0,1.121,0,0,3.0864,0,0,1.203,-0.858,1
0,0,3.932,-0.007,1.958,0,0,0,1.125,0,0,3.2848,0,0,1.304,0,0
1,0,5.375,0.004,3.16,2,0,1,1.129,0,2,3.6618,0,0,1.235,0,0
0,0,4.481,-0.024,2.15,3,0,0,1.136,0,0,3.8606,0,0,1.285,0,0
0,0,3.732,-0.237,2.667,0,0,0,1.156,0,0,2.7566,0,0,1.077,0,1
0,0,5.051,0,2.435,2,0,2,1.146,0,0,3.532,0,0,1.141,-0.794,0
2,0,4.75,0,1.908,8,0,5,1.126,0,3,2.0515,0,0,1.282,0,0
0,0,4.562,-0.271,4.037,0,0,0,1.142,0,0,3.7287,0,0,1.19,-1.21,1
0,0,5.391,0,2.108,0,0,0,1.139,0,0,3.7046,0,0,1.532,0,1
1,0,4.768,-0.008,2.515,3,0,2,1.133,0,0,2.808,0,0,1.278,1.18,0
3,0,5.406,0,2.702,9,0,7,1.116,0,5,2.1252,0,0,1.28,0,0
0,0,4.235,0.039,2.093,0,0,0,1.146,0,0,2.7848,0,0,1.168,0,1
0,0,3.973,0,1.617,0,0,0,1.137,0,0,2.8789,0,0,1.238,0,0
3,0,5.016,-0.002,2.681,0,0,0,1.123,0,0,2.3633,2,0,1.215,0.508,0
0,0,4.362,-0.074,2.667,0,0,0,1.151,0,0,3.0285,0,0,1.123,0,1
2,0,4.599,-0.001,1.905,4,0,4,1.139,0,0,1.8586,0,0,1.215,0,0
1,0,4.414,-0.085,2.881,0,0,0,1.114,0,0,3.2274,0,0,1.296,0,1
3,0,4.732,-0.021,1.625,6,0,0,1.154,0,0,2.2384,0,0,1.156,0,0
1,1,5.188,0,2.135,0,0,0,1.093,1,4,3.1467,0,0,1.461,0,0
0,0,4.303,0.044,2.685,2,0,0,1.159,0,0,3.1827,0,0,1.112,0,1
1,0,4.923,0.015,3.133,4,0,2,1.14,0,2,3.5484,0,0,1.225,0,0
1,0,5.318,-0.007,2.235,0,0,0,1.125,1,1,3.1083,0,0,1.263,0,0
6,1,5.28,0,2.525,4,0,3,1.092,0,2,2.0284,1,0,1.327,-0.647,0
0,0,4.461,0.044,2.611,3,0,0,1.159,0,0,3.5378,0,0,1.101,0,0
0,0,6.177,0,5.554,0,0,0,1.317,5,0,6.591,0,0,0.908,0,0
0,0,3.414,-0.611,3.125,0,0,0,1.146,0,0,2.4719,0,0,1.141,0,1
1,0,4.641,0.015,2.833,2,0,4,1.101,0,0,3.0954,0,0,1.35,0,0
3,0,5.814,0.003,1.97,0,0,0,1.136,2,0,2.4328,1,0,1.223,0,1
0,0,5.311,0,2.131,1,0,2,1.152,0,0,4.467,0,0,1.239,0.953,0
3,0,5.003,0.004,2.364,3,0,1,1.109,0,1,3.0607,0,0,1.295,0,0
3,0,4.982,0.004,2.682,2,0,2,1.129,0,0,2.3549,2,0,1.216,-0.186,0
0,0,4.214,-0.223,2.5,1,0,0,1.164,0,0,2.9483,0,0,1.127,0,1
1,0,4.977,0,2.458,0,0,0,1.143,0,0,2.0833,0,0,1.142,-0.343,1
1,0,5.119,-0.008,2.98,0,0,0,1.095,0,5,3.7467,0,0,1.344,0,0
1,0,4.923,0.012,1.867,0,0,0,1.121,0,0,3.0313,0,0,1.299,0,0
1,0,4.499,0.041,1.875,3,0,0,1.152,0,0,2.3906,0,0,1.131,0,0
2,0,4.675,0.001,1.551,4,0,2,1.141,0,0,1.7703,0,0,1.185,0,1
0,0,4.303,-0.222,2.5,2,0,0,1.164,0,0,3.1413,0,0,1.072,0,0
2,0,4.243,-0.001,2.048,0,0,0,1.143,0,0,1.4085,0,0,1.099,0,0
3,0,5.369,0,2.77,3,0,2,1.115,1,0,2.3752,2,0,1.299,-0.557,0
1,0,5.027,0.014,2.711,0,0,0,1.085,0,4,3.5931,0,0,1.398,0,0
2,0,5.174,0,2.638,4,0,1,1.121,0,2,2.5182,0,0,1.236,-1.681,0
1,0,5.164,-0.001,3.256,3,0,1,1.155,0,0,3.0492,0,0,1.083,-0.462,1
0,0,3.975,0,1.8,1,0,1,1.14,0,0,2.9106,0,0,1.228,0,1
1,0,4.642,-0.024,1.981,2,0,2,1.129,0,1,3.0494,0,0,1.275,0,0
0,0,5,0.446,4.583,0,0,0,1.153,0,0,5.0476,0,0,1.125,0,1
2,0,5.31,0,2.446,6,0,6,1.131,1,4,2.7525,0,0,1.26,-0.278,0
3,0,4.783,0.012,1.704,0,0,0,1.119,0,0,2.289,2,0,1.324,1.669,0
1,0,5.489,0,2.039,0,0,0,1.13,2,1,3.563,0,0,1.253,0,0
1,0,4.593,0.012,1.833,3,0,0,1.149,0,0,2.3348,0,0,1.17,0,0
1,1,5.236,0.004,2.155,0,0,0,1.091,0,0,2.8937,0,0,1.534,0,0
2,0,5.656,0,2.562,0,0,0,1.11,1,2,2.6715,0,0,1.279,-0.741,0
1,0,4.947,-0.007,2.197,0,0,0,1.125,0,1,2.9807,0,0,1.253,0,0
0,0,4,-0.596,3.167,0,0,0,1.146,0,0,2.9193,0,0,1.195,0.167,1
0,0,4.414,0.149,3.087,0,0,0,1.145,0,0,3.81,0,0,1.195,-0.741,0
1,0,5.103,0.001,3.619,4,0,4,1.144,0,3,3.9184,0,0,1.195,0,0
7,0,5.119,0.001,1.806,0,0,0,1.094,0,0,2.5804,0,0,1.369,0,0
0,0,4.38,-0.008,3.028,0,0,0,1.144,0,0,3.3996,0,0,1.138,-1.068,1
0,0,4.525,-0.002,2.143,0,0,0,1.142,0,0,3.8301,0,0,1.179,-0.039,1
0,0,5.125,-0.078,2.927,0,0,0,1.146,1,0,3.6783,0,0,1.177,0.025,1
1,0,4.821,-0.007,2.258,0,0,0,1.139,0,0,2.5866,1,0,1.189,-0.135,1
1,0,4.414,-0.066,2.119,0,0,0,1.142,0,0,2.18,0,0,1.149,0,1
0,0,4.475,0,2.083,0,0,0,1.14,0,0,3.5408,0,0,1.181,-0.855,1
1,0,4,0.103,1.5,0,0,0,1.138,0,0,2,0,0,1.167,0,0
1,0,5.315,-0.002,2.558,0,0,0,1.123,1,0,3.0581,0,0,1.243,-0.875,0
1,0,5.256,0.012,2.258,0,0,0,1.13,1,0,2.8227,0,0,1.277,1.509,0
3,0,5.018,0,3,0,0,0,1.104,0,0,2.6755,0,0,1.254,-1.992,0
0,0,5.333,0,2.706,0,0,0,1.15,2,0,4.7127,0,0,1.107,0,0
0,0,5.098,-0.077,2.469,0,0,0,1.151,1,0,3.6085,0,0,1.122,0,0
1,0,4.796,0.015,2.933,2,0,2,1.127,0,1,3.4006,0,0,1.253,0,0
1,0,4.499,0.034,1.542,0,0,0,1.138,0,0,2.125,1,0,1.199,0,0
1,0,4.845,0,2.667,0,0,0,1.125,0,1,2.7876,0,0,1.217,-0.746,1
0,1,3.732,-0.187,1.792,0,0,0,1.137,0,0,2.3783,0,0,1.297,0,0
1,0,4.414,-0.069,2.31,0,0,0,1.134,0,0,2.2808,0,0,1.197,0.464,1
1,0,4.414,-0.064,1.849,0,0,0,1.135,0,0,2.1712,0,0,1.23,0,0
1,0,4.642,-0.024,2.315,0,0,0,1.12,0,1,3.0034,0,0,1.256,0,1
0,0,4.534,0,2.154,0,0,0,1.141,0,0,4.002,0,0,1.18,-0.28,1
1,0,4.517,-0.025,2.407,1,0,2,1.109,0,0,2.7667,0,0,1.339,0,1
0,0,5.349,0,2.005,0,0,0,1.134,0,0,4.4437,0,0,1.343,-0.024,0
0,0,5.331,-0.002,2.157,1,0,0,1.146,0,0,4.3397,0,0,1.225,0,0
0,0,5.262,0,1.665,0,0,0,1.135,0,0,3.6865,0,0,1.299,0,0
0,0,4.382,0,1.903,0,0,0,1.138,0,0,3.2243,0,0,1.203,-0.013,1
0,1,3,0.803,2.787,0,0,0,1.123,0,0,1.9184,0,0,1.439,0,0
147,0,5.158,0,2.055,16,0,36,1.093,0,1,1.6914,0,0,1.41,0,0
3,0,4.838,0.004,1.697,5,0,2,1.145,0,0,2.2234,0,0,1.22,1.397,0
1,0,4.732,-0.027,3.074,2,0,1,1.125,0,1,3.3706,0,0,1.241,0,0
1,0,4.876,0.014,2.9,3,0,2,1.154,0,0,2.8477,0,0,1.174,-0.608,0
0,0,4.214,-0.277,4.111,1,0,0,1.148,0,0,3.3376,0,0,1.187,-1.072,1
0,0,4.5,0,1.622,0,0,0,1.14,0,0,4.1188,0,0,1.211,0,1
0,1,5.382,0.051,3.889,2,0,0,1.162,1,0,4.8614,0,0,1.154,0,0
1,0,5.31,0.014,3.058,1,0,2,1.123,0,1,3.4316,0,0,1.261,0,0
1,0,4.807,-0.026,2.802,0,0,0,1.103,0,3,3.3877,0,0,1.321,0,0
4,0,5.493,0,2.281,3,0,12,1.131,6,3,2.0841,0,0,1.248,-2.283,0
1,0,4.732,0.046,2.681,0,0,0,1.108,0,2,3.3162,0,0,1.296,0,0
1,0,4.596,0.045,2.444,0,0,0,1.094,0,2,3.2349,0,0,1.377,0,0
0,0,4.17,0.342,2.567,0,0,0,1.152,0,0,2.6629,0,0,1.12,0,1
1,0,4.828,0.015,2.833,2,0,6,1.101,0,0,3.3085,0,0,1.35,0,0
1,0,4.303,0.125,1.917,0,0,0,1.097,0,0,3.1007,0,0,1.439,0,0
0,0,4.214,-0.263,3.296,0,0,0,1.146,0,0,3.5181,0,0,1.174,-0.738,1
2,0,4.89,0,2.033,1,0,2,1.113,0,0,1.9828,0,0,1.311,0,0
1,0,4.414,-0.081,2.381,4,0,0,1.141,0,1,3.201,0,0,1.252,0,0
0,0,4.334,0.15,2.952,0,0,0,1.139,0,0,3.6944,0,0,1.178,-0.359,1
1,0,5.236,0.004,2.889,0,0,0,1.076,0,6,3.9153,0,0,1.408,0,0
1,0,4.77,0.012,1.767,0,0,0,1.128,0,0,2.5385,0,0,1.274,3.12,1
6,0,5.156,0,3.271,0,0,0,1.093,0,0,2.4524,0,0,1.225,-3.296,1
4,0,5.124,0,2,0,0,0,1.12,0,2,1.6801,0,0,1.234,0,0
3,0,4.923,-0.008,2.5,0,0,0,1.104,0,0,2.7291,0,0,1.266,-0.199,1
0,0,4.17,0.354,2.611,0,0,0,1.141,0,0,2.7612,0,0,1.28,0,0
0,0,3,0.903,3.667,0,0,0,1.149,0,0,2.311,0,0,1.177,0,1
0,0,5.262,0.166,4.226,0,0,0,1.166,1,0,5.0351,0,0,1.252,0,0
1,0,4.912,-0.024,2.111,2,0,1,1.129,0,1,3.2934,0,0,1.285,0,0
1,0,4.965,-0.008,3.202,2,0,1,1.117,0,3,3.6476,0,0,1.295,0,0
11,0,5.775,0,2.024,8,0,5,1.111,1,5,1.4888,1,0,1.286,-0.314,0
2,0,4.985,0.001,2.077,2,0,3,1.107,0,1,2.5536,0,0,1.313,0,0
1,0,4.562,0.043,2.181,0,0,0,1.107,0,1,3.1061,0,0,1.346,0,0
1,0,4.965,-0.008,3.192,4,0,2,1.137,0,3,3.6277,0,0,1.249,0,0
0,0,3.879,0.047,2.833,4,0,0,1.152,0,0,2.9588,0,0,1.251,0,0
1,0,5.511,0,2.04,0,0,0,1.144,4,0,3.4572,1,0,1.185,0,0
15,0,5.998,0,2.355,0,0,0,1.103,3,0,1.8789,6,0,1.332,0.642,0
6,0,5.115,0,2.417,8,0,6,1.103,0,2,1.9359,0,0,1.3,0.355,0
0,0,4.236,-0.002,2.405,0,0,0,1.147,0,0,3.3944,0,0,1.137,-0.271,1
6,0,5.352,0,2.686,0,0,0,1.092,0,1,2.415,0,0,1.291,-0.514,0
0,0,4.5,0,1.552,0,0,0,1.133,0,0,3.9147,0,0,1.271,0,0
0,0,5.328,0,2.799,0,0,0,1.137,0,0,5.8726,0,0,1.225,0,0
0,0,5.283,0,2.1,0,0,0,1.146,4,0,4.9583,0,0,1.164,0,0
6,0,5.35,0,2.932,0,0,0,1.092,0,4,2.0188,0,0,1.297,-5.135,0
0,0,4.983,-0.008,3.694,0,0,0,1.16,0,0,4.2631,0,0,1.011,0,1
0,1,3.932,-0.006,1.708,0,0,0,1.133,0,0,2.7496,0,0,1.306,0,0
1,0,4.958,-0.008,3.182,2,0,1,1.132,0,2,3.552,0,0,1.226,0,0
0,0,5.262,0,2.115,0,0,0,1.144,0,0,4.5221,0,0,1.187,0,0
0,0,4.17,0.442,4.056,0,0,0,1.149,0,0,3.2439,0,0,1.11,-0.98,1
0,0,3.618,0.294,1.7,0,0,0,1.147,0,0,2.1906,0,0,1.178,0,1
1,0,4.843,-0.002,2.607,3,0,1,1.121,0,3,3.0136,0,0,1.285,-0.043,0
0,0,4.737,-0.002,2.81,2,0,4,1.146,0,0,4.1851,0,0,1.233,-0.804,0
0,0,5.384,-0.023,2.542,0,0,0,1.148,1,0,4.1685,0,0,1.138,0,0
2,0,5.393,0,1.931,0,0,0,1.109,1,0,2.1651,0,0,1.317,1.199,0
2,0,5.451,0,2.293,0,0,0,1.099,0,4,2.5976,0,0,1.36,0,0
1,0,4.414,-0.083,2.667,0,0,0,1.128,0,0,3.0463,0,0,1.241,0,1
6,0,5.014,-0.001,1.885,0,0,0,1.075,0,0,2.6689,0,0,1.419,0,0
1,0,4.97,0.013,2.267,0,0,0,1.123,0,1,3.3797,0,0,1.272,0,0
3,0,4.91,0.004,2.02,0,0,0,1.083,0,1,2.843,0,0,1.409,0,0
1,0,4,0.004,1.75,0,0,0,1.125,0,0,2.3041,0,0,1.274,0,0
1,0,4.517,-0.024,1.963,3,0,1,1.129,0,1,2.7655,0,0,1.264,0,0
1,0,4.562,0.045,2.417,4,0,2,1.14,0,2,3.1297,0,0,1.242,0,0
2,0,5.437,0,2.411,0,1,0,1.094,1,2,2.538,0,0,1.375,0,0
0,0,4.411,0,2.407,0,0,0,1.142,0,0,3.5866,0,0,1.164,-0.328,1
1,0,4.596,0.046,2.681,0,0,0,1.108,0,2,3.2495,0,0,1.3,0,0
1,0,5.068,0.001,2.833,0,0,0,1.121,0,0,3.3983,0,0,1.202,-1.1,1
0,0,4.372,-0.023,2.033,0,0,0,1.128,0,0,3.4629,0,0,1.288,2.495,1
1,0,4.895,-0.008,3.01,2,0,1,1.124,0,2,3.4879,0,0,1.278,0,0
3,0,5.103,-0.002,2.722,0,0,0,1.092,0,0,2.7331,0,0,1.294,-0.185,0
0,0,3,0.826,3.167,0,0,0,1.162,0,0,1.8205,0,0,1.06,0,1
1,0,4.499,0.045,2.583,0,0,0,1.104,0,0,3.0314,0,0,1.291,0,1
0,0,5.303,0.047,3.472,0,0,0,1.159,1,0,4.1328,0,0,1.044,0,0
2,0,5.394,0,3.086,8,0,3,1.122,0,4,2.8307,0,0,1.274,0.311,0
4,0,5.493,0,2,0,0,0,1.125,6,3,2.107,0,0,1.283,0,0
0,0,5.333,0,1.528,0,0,0,1.136,0,0,4.5365,0,0,1.292,0,0
0,0,3.919,0.011,1.591,0,0,0,1.142,0,0,2.6909,0,0,1.201,0,1
1,0,4.596,0.045,2.417,4,0,2,1.14,0,2,3.1791,0,0,1.254,0,0
1,0,4.807,-0.026,2.802,0,0,0,1.103,0,3,3.3873,0,0,1.318,0,0
3,0,5.325,0,1.964,5,0,2,1.127,1,2,2.5675,1,0,1.265,1.306,0
15,0,5.993,0,2.494,0,0,0,1.103,6,0,1.665,8,0,1.366,0.765,0
0,0,4.343,-0.089,3.271,0,0,0,1.143,0,0,3.6524,0,0,1.126,-0.501,1
0,0,3,1.073,5,0,0,0,1.167,0,0,2.7098,0,0,1.024,0,1
1,0,4.414,-0.077,2.095,3,0,0,1.125,0,0,3.1806,0,0,1.295,0,0
0,0,4.236,0,1.987,0,0,0,1.138,0,0,2.9879,0,0,1.205,-0.653,1
1,0,4.789,0.004,2.556,0,0,0,1.144,0,0,2.8739,0,0,1.149,-0.318,1
0,0,5.35,-0.002,2.798,0,0,0,1.147,2,0,4.5704,0,0,1.132,-0.443,0
0,0,4.399,0,1.855,0,0,0,1.138,0,0,3.3815,0,0,1.206,-0.214,1
2,0,4.739,0,1.961,8,0,3,1.123,0,3,2.1754,0,0,1.288,0,0
6,0,4.919,0,1.919,8,0,2,1.125,0,2,1.1387,0,0,1.204,0,0
0,0,4.228,0.142,2.738,0,0,0,1.147,0,0,3.2893,0,0,1.14,-0.193,1
0,0,5.098,0,2.459,0,0,0,1.145,0,0,3.1338,0,0,1.168,0,1
1,0,4,0.137,2.167,2,0,0,1.121,0,0,3.1669,0,0,1.287,0,1
5,0,5.715,0,2.099,6,0,4,1.122,1,3,2.0229,1,0,1.275,-0.299,0
1,0,5.459,-0.001,2.089,0,0,0,1.129,2,1,2.9274,0,0,1.265,0,0
0,0,4.237,0,2.63,0,0,0,1.142,0,0,3.0152,0,0,1.158,-1.396,1
1,0,4.732,-0.025,2.481,0,0,0,1.11,0,0,3.015,0,0,1.286,0.121,1
1,0,5.276,0,2.822,2,0,1,1.127,0,2,3.4588,0,0,1.273,0,0
0,0,4.523,0.038,1.796,4,0,0,1.151,0,0,3.4355,0,0,1.173,0,0
3,0,5.814,0.003,2.091,0,0,0,1.131,2,0,2.4937,1,0,1.254,0.513,1
0,0,5.333,0,3.176,0,0,0,1.155,2,0,4.7687,0,0,1.068,0,0
2,0,4.562,0,1.744,4,0,6,1.139,0,0,1.8929,0,0,1.209,0,0
0,0,6.316,0,5.741,0,1,0,1.348,11,0,7.7233,0,0,0.906,-4.617,0
1,0,4.825,0.013,2.55,0,0,0,1.139,0,0,2.4725,1,0,1.177,0,0
1,0,5.072,0,2.144,0,0,0,1.133,0,0,2.4853,0,0,1.22,-0.892,1
3,0,5.2,0,3.167,4,0,6,1.121,0,2,3.1674,0,0,1.262,0,0
3,0,4.877,0.004,2.591,0,0,0,1.11,0,2,2.6955,0,0,1.243,0,1
1,0,4.414,-0.081,2.397,2,0,0,1.116,0,0,3.2871,0,0,1.323,0,0
2,0,4.675,0.001,2.064,0,0,0,1.099,0,2,2.4203,0,0,1.306,0,0
4,0,4.835,0,1.944,4,0,3,1.099,0,0,2.2543,0,0,1.354,0,0
4,0,5.462,0,2.104,10,0,11,1.128,2,2,2.4473,0,0,1.289,0,0
0,0,4.17,0.396,3.257,1,0,0,1.14,0,0,3.021,0,0,1.495,-0.259,0
0,0,3.414,-0.501,1.917,0,0,0,1.109,0,0,2.1658,0,0,1.396,0,0
1,0,5.072,0,2.667,0,0,0,1.125,0,0,3.2754,0,0,1.21,-1.016,1
1,0,5.072,0,2.433,0,0,0,1.129,0,0,2.9677,0,0,1.206,-0.942,1
3,0,5.047,-0.001,3.321,0,0,0,1.104,0,0,2.7377,0,0,1.211,-2.685,1
1,0,5.268,0.001,3.103,2,0,6,1.085,0,4,3.9791,0,0,1.399,0,0
0,0,5.086,-0.23,2.792,0,0,0,1.156,1,0,3.6943,0,0,1.104,0,0
0,0,4.214,-0.213,2.167,2,0,2,1.171,0,0,2.904,0,0,1.143,0,0
1,0,4.972,-0.002,3.09,0,0,0,1.119,0,1,3.3935,0,0,1.211,-1.648,1
1,0,4.414,-0.074,2.405,0,0,0,1.147,0,0,2.3717,0,0,1.141,0,1
0,0,4,-0.59,2.833,1,0,0,1.139,0,0,2.9848,0,0,1.344,0.5,0
1,0,4.849,-0.002,2.256,4,0,1,1.129,0,1,3.0066,0,0,1.246,0,0
0,0,6.242,0,5.825,3,3,3,1.377,12,0,9.1775,0,0,0.883,0,0
0,0,5.206,0,2.167,2,0,1,1.145,0,0,3.3847,0,0,1.187,-0.947,1
3,0,5.005,0,1.938,4,0,1,1.128,0,1,1.8996,0,0,1.204,0,0
6,1,5.416,0,2.724,2,0,3,1.097,0,3,2.4805,0,0,1.309,-0.735,0
1,0,4.499,0.045,2.146,0,0,0,1.117,0,1,3.0778,0,0,1.253,0,1
1,0,4.499,0.039,1.854,0,0,0,1.125,0,0,2.3714,1,0,1.266,0,0
1,0,4.813,-0.008,2.985,2,0,1,1.132,0,2,3.4399,0,0,1.209,0,0
1,0,4.732,0.049,3.417,0,0,0,1.16,0,2,3.3893,0,0,1.196,0,0
1,0,4.872,-0.002,2.59,5,0,3,1.14,0,3,3.1623,0,0,1.215,-0.121,0
0,0,4.876,-0.027,3.7,0,0,0,1.161,0,0,3.9788,0,0,1.008,0,1
1,0,4.826,-0.001,2.5,3,0,6,1.163,0,0,2.731,0,0,1.12,0,1
1,0,4.77,0.013,2.211,0,0,0,1.106,0,1,3.0499,0,0,1.348,1.066,0
1,0,4.791,0.014,2.383,0,0,0,1.114,0,1,2.9639,0,0,1.29,0,1
0,1,3.618,0.336,2.272,0,0,0,1.131,0,0,2.3247,0,0,1.338,0,0
1,0,4.782,-0.008,2.773,2,0,1,1.129,0,1,3.0562,0,0,1.215,-0.896,0
1,0,4.644,0,1.819,1,0,2,1.144,0,0,1.6696,0,0,1.175,0.135,0
1,0,5.272,-0.001,2.587,1,0,2,1.114,0,1,3.2017,0,0,1.321,0,0
1,0,5.365,-0.007,1.856,0,0,0,1.123,1,0,2.9284,0,0,1.279,0,0
0,0,6.294,0,5.628,0,0,0,1.333,9,0,7.4499,0,0,0.906,0,0
1,0,4.414,-0.087,3.405,2,0,0,1.166,0,0,2.9195,0,0,1.127,-0.657,1
1,0,4.782,-0.007,2.333,0,0,0,1.117,0,0,2.9304,0,0,1.28,0,1
1,0,5.074,0,2.467,0,0,0,1.129,0,0,3.092,0,0,1.215,-0.98,1
1,0,5.401,0,2.159,0,0,0,1.12,0,6,3.3983,0,0,1.391,0,0
0,0,4.645,-0.008,3.097,3,0,4,1.173,0,0,3.6462,0,0,1.104,-0.987,1
2,0,5.076,0,2.222,0,0,0,1.121,0,2,1.9467,0,0,1.25,-0.185,0
0,0,5.248,-0.008,2.792,10,0,0,1.152,2,0,4.9627,0,0,1.257,0,0
0,0,4.618,0.016,3.152,0,0,0,1.139,0,0,4.7233,0,0,1.163,-1.035,1
1,0,4.837,-0.001,2.111,3,0,6,1.153,0,0,3.2718,0,0,1.232,0,0
2,0,5.415,0,2.133,0,0,0,1.124,2,2,2.605,0,0,1.277,0,0
0,0,4.383,0,2.214,0,0,0,1.142,0,0,3.1398,0,0,1.173,-0.678,1
3,0,5.029,0,2.611,0,0,0,1.111,0,0,2.5966,0,0,1.254,-0.761,0
2,0,5.114,0,1.875,0,0,0,1.11,0,0,2.4193,0,0,1.324,0,0
1,0,4.607,-0.025,2.481,0,0,0,1.11,0,0,3.0422,0,0,1.299,0,1
1,0,4.732,0.045,2.417,4,0,2,1.14,0,2,3.2417,0,0,1.25,0,0
2,0,5.427,0,2.042,0,0,0,1.119,2,0,2.3997,0,0,1.261,0,0
1,0,5.164,-0.072,2.988,0,0,0,1.133,0,0,2.9809,0,0,1.245,0,0
1,0,4.687,-0.002,2.423,3,0,1,1.131,0,2,2.9071,0,0,1.229,-0.066,0
