a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p
0,0,2,0,0,5.2824,0,4.028,0,2.187,0,10.651,5.284,0,2.965,0
2,2,0,2,0,3.2726,2,3.105,0,1.187,0,9.668,4.783,0,1.358,1
3,0,1,0,0,2.6724,1,2.616,0,1.585,0,8.16,3.732,0,2.488,1
0,0,0,3,1,1.9758,0,4.052,0,0.432,0,10.89,5.665,0,1.839,0
1,0,0,1,0,3.135,0,2.884,0,0.802,0,9.183,4.414,0,0.975,1
1,0,1,1,0,2.6642,0,3.086,0,1.409,0,9.391,4.517,0,2.036,1
1,0,0,6,0,3.8407,0,5.017,0,0.799,0,10.434,5.236,1,0.873,0
2,2,0,5,0,2.361,2,3.801,0,0.682,0,10.772,5.318,0,1.393,0
0,0,0,0,0,4.6932,0,3.144,0,1.406,0,9.967,5.236,0,1.309,0
1,0,2,0,0,3.1183,0,3.178,0,2.55,0,9.002,3.919,0,4.489,1
1,2,0,2,0,2.8025,2,3.38,0,0.762,0,10.226,4.982,0,1.027,1
1,0,2,0,0,3.0163,0,3.68,0,3.301,0,9.649,3.973,0,7.718,1
0,0,0,3,0,2.6955,0,3.359,0,0.943,0,10.07,4.877,0,1.496,1
2,0,4,0,0,3.4015,4,2.859,0,1.5,0,9.872,5.098,0,2.472,0
0,0,0,4,0,2.5804,0,3.434,0,0,0,10.355,5.119,0,0.751,0
0,0,1,0,0,3.0603,0,3.192,0,2.3,0,9.338,4.347,0,4.098,0
1,3,1,3,1,3.0136,3,3.715,0,1.662,0,10.166,4.843,0,2.652,0
0,0,1,0,0,3.72,0,2.985,0,1.5,0,9.345,4.476,0,2.34,1
0,0,0,0,1,2.3808,0,4.378,0,0.752,0,11.528,5.995,0,1.076,0
0,1,0,0,1,3.2871,2,3.11,0,0.802,0,9.183,4.414,0,0.975,0
0,2,0,6,1,2.6068,2,4.145,1,0.954,0,10.713,5.035,0,3.414,0
0,2,0,1,0,2.7059,1,3.168,0,1.461,0,9.665,4.593,0,2.298,0
0,2,0,3,1,3.5995,2,3.647,1,1.16,0,10.099,4.958,0,1.602,0
1,0,0,0,0,5.0476,0,2.872,0,0.722,0,9.657,5,0,0.8,1
0,0,0,2,0,3.0853,0,3.233,0,1.261,0,9.714,4.641,0,1.783,1
0,0,0,3,0,2.1747,0,4.133,0,0.393,0,10.867,5.331,0,2.694,1
0,0,1,1,0,2.7404,0,3.315,0,1.705,0,9.722,4.543,0,2.905,0
1,4,2,4,0,1.6977,4,4.176,0,2.296,1,10.68,4.753,0,7.067,0
0,0,0,0,0,2.0093,0,1.926,0,0.918,0,6.594,3,0,1.333,0
0,12,0,0,0,1.7433,3,3.969,0,0.61,0,10.903,5.299,0,1.91,0
0,0,8,0,0,3.7046,0,3.838,0,1.735,0,10.648,5.391,0,1.69,1
0,0,2,0,0,3.5554,0,3.138,0,1.922,0,9.494,4.372,0,3.412,1
0,2,0,2,1,3.5714,2,3.445,1,1.185,0,9.911,4.923,0,1.563,0
2,0,4,4,0,2.2581,0,4.013,0,1.555,0,10.927,5.512,0,4.054,0
2,0,2,0,1,3.0468,0,2.913,0,1.459,0,8.815,4.303,0,1.745,1
1,0,3,0,1,4.4339,0,3.465,0,0.811,0,10.505,5.646,0,1.411,0
2,2,0,0,0,3.223,4,2.883,0,0.802,0,9.183,4.414,0,0.975,0
1,2,1,1,0,2.7655,3,3.073,0,1.409,0,9.391,4.517,0,2.036,0
0,0,2,0,0,4.7601,0,3.647,0,0.811,0,10.505,5.646,0,1.411,0
0,0,2,2,0,2.1651,0,3.776,0,0.662,0,10.741,5.393,0,3.601,0
0,2,2,1,0,2.9372,4,3.249,0,1.523,0,9.801,4.818,0,2.002,0
1,3,2,2,0,2.7215,3,3.547,0,1.876,0,10.164,4.692,0,3.356,1
0,0,0,2,1,2.1816,0,3.897,0,0.648,0,10.62,5.509,0,2.451,0
1,0,1,0,0,3.2439,0,2.842,0,0.971,0,8.597,4.17,0,1.542,1
1,0,2,0,0,3.9866,0,3.503,0,2.47,0,10.126,5.184,0,3.798,0
2,2,0,3,1,3.3499,2,3.453,0,0.881,0,9.833,4.807,0,1.06,0
0,0,1,0,0,2.5436,0,3.336,0,1.695,0,9.972,4.739,0,2.815,1
0,0,0,2,0,2.7331,0,3.46,0,0.73,0,10.265,5.103,0,1.026,0
1,0,3,0,0,2.5728,0,3.215,0,1.16,0,10.388,5.313,0,1.833,1
4,11,0,1,0,2.6974,2,3.584,0,0.673,0,10.289,4.93,0,2.214,0
0,0,2,0,0,4.1948,0,3.463,0,1.837,0,9.966,5.182,0,2.244,0
1,0,1,0,0,5.581,0,3.942,0,2.396,0,10.694,5.332,0,2.891,0
2,0,0,4,0,2.4429,0,3.578,0,0.673,0,10.289,4.88,0,2.38,0
0,0,8,0,0,6.9923,0,4.603,0,2.936,0,11.367,5.345,0,3.435,0
5,2,0,0,0,3.6465,3,3.198,0,1.761,0,9.723,4.655,0,2.989,1
0,0,3,0,0,2.4937,0,3.256,0,0.845,0,10.926,5.814,0,0.811,1
0,0,0,0,0,2.2551,0,2.618,0,0,0,8.623,4,0,0.667,0
0,0,2,2,0,3.2754,0,3.678,0,1.875,0,10.32,5.072,0,2.707,1
0,0,5,0,0,3.3889,0,2.821,0,1.299,0,10.01,5.125,0,2.097,0
0,0,0,0,0,4.1448,0,3.751,0,1.792,0,10.014,4.709,0,3.444,0
1,0,1,0,0,4.373,0,3.438,0,0.863,0,10.026,5.262,0,1.435,0
2,0,0,2,0,3.3319,0,3.025,0,0.875,0,9.579,4.732,0,0.854,1
2,2,2,0,0,3.5506,3,3.418,0,1.258,0,10.189,5.076,0,1.244,1
3,0,4,0,0,4.0516,0,3.01,0,1.392,0,10.053,5.303,0,1.164,0
0,0,0,4,1,3.5218,0,3.764,0,0.861,0,10.06,4.935,0,1.047,0
2,0,0,4,0,2.6755,0,3.746,0,1.125,0,10.568,5.018,0,2.158,0
0,6,6,0,0,5.6107,6,3.885,0,2.388,0,10.649,5.27,0,3.036,0
0,0,3,0,1,3.6865,0,3.88,0,2.733,0,10.387,5.262,0,3.441,0
1,0,9,4,0,3.7026,0,3.769,0,1.131,0,11.278,5.522,0,1.648,0
1,0,1,1,0,2.9058,0,2.99,0,1.125,0,9.311,4.499,0,1.481,1
2,4,0,2,0,3.4398,4,3.288,1,1.185,0,9.882,4.796,0,1.686,0
1,0,1,0,0,7.1279,0,4.252,0,1.544,0,11.905,6.253,0,3.516,0
2,0,0,6,1,2.4328,0,3.947,0,0.732,0,10.578,4.961,0,3.001,0
0,0,1,4,1,2.538,0,4.239,0,0.954,0,10.89,5.437,0,2.444,0
0,0,4,0,0,4.2358,0,4.697,0,3.066,0,10.673,5.351,0,6.801,0
0,0,0,0,1,2.9421,0,4.006,0,0.799,0,10.434,5.236,0,0.873,0
4,2,0,5,0,2.9783,2,3.843,0,1.024,0,10.837,5.35,0,1.871,0
1,0,1,0,0,3.7287,0,3.184,0,0.918,0,9.184,4.562,0,1.521,1
1,0,1,2,0,3.0034,0,3.093,0,1.187,0,9.631,4.642,0,1.487,1
0,0,2,0,0,2.8894,0,4.312,0,2.246,0,9.253,4.377,0,3.316,0
2,0,2,0,0,4.8614,2,3.855,0,1.352,0,10.182,5.382,1,1.459,0
0,2,0,2,0,3.6002,2,3.37,1,1.273,0,9.975,4.953,0,1.602,0
2,2,0,2,1,3.1562,2,3.202,0,0.875,0,9.54,4.562,0,1.14,0
0,0,3,0,0,2.5385,0,3.131,0,1.185,0,9.882,4.77,0,1.74,1
1,0,3,0,0,3.4065,3,2.85,0,1.561,0,9.104,4.438,0,2.054,0
2,2,1,2,0,3.0804,2,2.984,0,0.875,0,9.54,4.562,0,1.14,0
1,0,1,3,0,3.2685,0,3.404,0,1.528,0,10.009,4.869,0,1.945,1
1,0,1,2,0,3.0583,0,3.217,0,1.185,0,9.882,4.77,0,1.74,0
1,0,2,0,0,2.856,0,3.553,0,3.146,0,9.522,3.966,0,6.909,1
0,3,4,0,0,1.781,2,4.066,0,1.092,0,11.197,5.216,0,4.681,0
0,0,0,4,0,1.9515,0,3.82,0,0,0,10.506,4.928,0,3.091,0
1,0,0,3,0,2.7377,0,3.634,0,1.06,0,10.531,5.047,0,1.75,1
7,4,0,0,0,3.6462,3,3.347,0,2.117,0,9.828,4.645,0,4.049,1
0,0,0,0,0,2.3714,0,2.924,0,1.125,0,9.311,4.499,0,1.481,0
1,0,2,0,0,2.958,0,4.008,0,3.792,0,10.039,3.986,0,10.955,1
0,0,4,2,0,2.4853,0,4.22,0,2.972,0,10.799,5.072,0,7.668,1
1,0,1,0,0,3.0463,0,2.895,0,1.203,0,9.209,4.414,0,1.496,1
1,4,0,2,0,2.2988,4,3.486,0,0,1,9.971,4.675,0,2.829,0
0,6,0,2,0,1.7705,6,4.203,0,0.465,0,10.828,4.804,0,6.12,0
0,0,0,0,0,3.4592,0,2.634,0,1,0,7.408,3.414,0,1.707,0
4,4,0,6,1,2.5599,4,3.896,0,0.75,0,10.568,4.992,0,2.478,0
0,0,2,0,0,2.3368,0,3.145,0,0.853,0,10.592,5.493,0,0.818,0
1,9,1,10,0,1.4888,8,4.579,0,0.42,1,11.693,5.775,0,3.124,0
0,0,0,0,1,2.4353,0,4.296,0,0.768,0,11.48,5.994,0,0.955,0
1,0,0,4,1,3.5332,0,3.66,0,0.861,0,10.06,4.935,0,1.047,0
0,0,2,0,0,4.7233,0,3.305,0,1.79,0,9.768,4.618,0,2.612,1
0,0,2,0,0,4.6399,0,3.827,0,0.811,0,10.505,5.646,0,1.411,0
4,0,2,0,0,2.7037,3,2.734,0,1.95,0,8.394,3.802,0,2.885,0
1,0,0,0,0,2.18,0,2.755,0,0.802,0,9.183,4.414,0,0.975,1
0,0,2,0,0,3.6519,0,3.25,0,2.187,0,9.562,4.495,0,3.568,1
1,0,0,2,1,3.303,0,3.413,0,1.185,0,9.911,4.923,0,1.563,0
0,0,2,0,0,3.9619,0,3.707,0,2.587,0,10.202,4.646,0,6.086,1
0,0,0,12,1,3.1768,0,4.608,0,0.72,0,11.151,5.418,0,2.359,0
0,3,1,3,1,3.7849,2,3.76,1,1.197,0,10.666,5.402,0,1.679,0
1,0,3,2,0,3.0581,0,3.461,0,1.23,0,10.548,5.315,0,2.215,0
0,0,2,0,0,2.3391,0,2.511,0,1.585,0,8.16,3.732,0,2.488,1
1,4,0,3,0,2.2543,4,3.666,0,0,1,10.423,4.835,0,2.345,0
1,1,0,0,0,2.1142,2,2.585,0,0,0,8.623,4,0,0.667,1
3,0,1,0,0,1.9452,0,4.201,0,3.866,0,10.735,4.977,0,10.593,1
0,8,3,4,0,4.1216,8,4.091,2,1.708,0,11.059,5.386,0,2.168,0
1,2,1,3,0,3.6023,2,3.375,1,1.16,0,10.099,4.965,0,1.553,0
0,0,2,0,1,2.7719,0,3.44,0,2.777,0,9.207,3.942,0,5.294,1
0,0,1,1,0,2.8791,0,3.211,0,1.461,0,9.724,4.774,0,1.964,1
0,0,3,1,0,2.9658,0,3.533,0,1.876,0,10.447,5.107,0,3.439,0
0,0,1,6,1,2.4916,0,4.387,0,2.929,0,10.814,5.26,0,6.971,0
0,6,0,4,0,3.1674,4,3.793,2,1.125,0,10.598,5.2,0,1.832,0
0,0,0,4,0,2.3715,0,3.745,0,0.625,0,10.681,5.31,0,1.262,1
0,0,0,3,0,2.5259,0,3.829,0,1.126,0,10.558,5.131,0,2.895,0
0,27,0,0,0,4.0287,0,4.146,0,1.975,0,10.792,5.062,0,2.398,0
0,6,0,0,0,2.2234,5,3.229,0,0,0,9.909,4.838,0,1.145,0
2,0,0,4,0,2.1018,0,3.889,0,0.548,0,10.936,5.611,0,2.321,0
1,2,0,2,0,2.7189,2,3.395,0,0.664,0,10.037,4.923,0,1.057,0
0,0,0,0,1,5.2014,0,3.939,0,1.371,0,9.956,4.947,0,2.232,0
1,0,3,3,0,3.1448,0,3.272,0,1.16,0,10.099,4.958,0,1.602,0
0,6,0,7,0,2.0229,6,4.337,0,0.971,0,11.472,5.715,0,2.313,0
1,0,0,3,0,2.6275,0,3.589,0,1.217,0,10.309,5.039,0,2.131,0
2,0,0,4,0,2.1796,0,3.633,0,0.648,0,10.3,4.732,0,3.095,0
0,0,2,2,0,2.9677,0,3.863,0,2.341,0,10.435,5.072,0,4.023,1
5,0,0,0,0,3.3271,1,2.767,0,0.971,0,8.597,4.17,0,1.542,0
2,4,0,3,0,3.602,4,3.45,1,1.258,0,10.152,4.973,0,1.706,0
0,0,0,4,1,2.6588,0,3.792,0,0.673,0,10.327,5.076,0,2.106,0
1,0,1,2,0,3.3935,0,3.513,0,1.508,0,10.173,4.972,0,2.228,1
2,2,0,3,1,3.3502,2,3.453,0,0.881,0,9.833,4.807,0,1.06,0
0,0,2,2,0,2.9304,0,3.294,0,1.273,0,9.947,4.782,0,1.951,1
0,2,2,0,0,2.3348,3,3.098,0,1.461,0,9.665,4.593,0,2.298,0
0,0,0,0,0,2.7716,0,2.566,0,0.929,0,9.053,4.481,0,0.964,1
2,0,6,4,0,3.6981,0,3.762,0,1.162,0,11.1,5.459,0,1.737,0
0,0,0,4,0,2.5237,0,3.606,0,0,0,10.4,5.047,0,1.443,0
1,0,0,2,1,3.1971,0,3.214,0,0.875,0,9.54,4.562,0,1.14,0
1,4,3,3,0,2.8874,3,3.607,0,1.831,0,10.332,4.883,0,3.288,0
1,1,2,2,0,3.2017,0,3.582,0,1.805,0,10.269,4.994,0,2.668,0
0,0,1,0,1,3.5181,0,2.953,0,1.459,0,8.755,4.214,0,2.052,1
2,2,2,5,0,2.5182,4,4.049,0,1.282,0,10.904,5.174,0,3.572,0
4,6,2,0,0,1.7855,4,3.616,0,0.732,0,10.577,4.887,0,3.219,0
0,0,2,0,0,2.4475,0,2.661,0,1.95,0,8.394,3.802,0,2.885,1
2,3,2,3,0,3.2927,2,3.087,0,0.881,0,9.863,4.912,0,0.95,0
1,0,1,2,0,1.9089,0,3.74,0,3.025,0,10.128,4.793,0,6.687,0
0,0,2,0,0,3.455,0,4.363,0,4.044,0,10.513,4.399,0,12.745,1
1,2,0,2,0,3.1387,1,3.168,0,1.187,0,9.631,4.607,0,1.544,1
0,0,2,0,0,3.5408,0,4.103,0,3.664,0,10.32,4.475,0,9.847,1
1,2,1,1,0,2.8754,3,3.222,0,1.461,0,9.665,4.593,0,2.298,1
1,0,0,3,1,3.4778,0,3.462,0,0.881,0,9.863,4.912,0,0.95,0
0,0,4,0,0,4.0011,0,4.758,0,1.392,0,10.053,5.303,1,1.164,0
2,1,2,0,0,1.9952,2,3.866,0,0.737,0,10.802,5.095,0,3.664,0
0,0,0,0,1,2.8937,0,5.031,0,0.799,0,10.434,5.236,1,0.873,0
0,0,2,2,0,3.4093,0,3.648,0,1.197,0,10.84,5.382,0,2.219,0
0,0,2,0,0,3.3944,0,3.449,0,2.753,0,9.528,4.236,0,5.588,1
0,0,6,0,0,5.431,0,4.187,0,2.826,0,10.853,5.271,0,3.847,0
0,9,0,0,0,3.3732,3,4.319,0,2.346,0,11.029,5.287,0,3.396,0
1,0,1,0,0,3.2139,0,3.201,0,2.55,0,9.002,3.919,0,4.489,1
2,3,2,0,0,2.8477,3,3.21,0,1.193,0,10.053,4.876,0,1.586,0
1,4,0,3,0,3.7881,4,3.591,2,1.23,0,10.309,5.006,0,1.873,0
1,2,0,2,0,3.3837,2,3.299,1,1.185,0,9.882,4.77,0,1.74,0
2,0,1,0,0,2.445,1,2.41,0,1.522,0,7.853,3.618,0,2.094,1
6,0,2,0,0,4.2631,0,3.342,0,1.792,0,10.074,4.983,0,2.666,1
0,0,0,3,0,3.4023,0,3.404,0,1.299,0,10.027,4.896,0,1.541,1
2,0,2,0,0,3.2686,2,2.882,0,1.906,0,9.059,4.362,0,2.524,0
1,0,2,2,0,2.9807,0,3.266,0,1.455,0,9.974,4.947,0,1.887,0
0,0,0,12,0,3.0431,0,5.701,0,0.719,0,11.156,5.307,1,3.176,0
0,0,1,1,0,3.0215,0,2.853,0,0.802,0,9.183,4.414,0,0.975,1
1,1,2,2,0,3.2319,0,3.525,0,1.733,0,10.222,4.975,0,2.571,0
0,0,1,0,0,3.2848,0,3.303,0,2.585,0,9.11,3.932,0,4.891,0
0,0,2,2,0,3.031,0,3.217,0,1.185,0,9.882,4.77,0,1.74,1
0,0,2,0,0,4.1984,0,3.37,0,2.252,0,9.651,4.468,0,3.737,1
1,0,0,2,0,3.173,0,3.796,0,0.875,0,9.54,4.562,1,1.14,0
1,0,0,3,0,3.3439,0,4.264,0,0.881,0,9.833,4.807,1,1.06,0
0,2,0,3,1,3.701,2,3.647,1,1.16,0,10.122,5.029,0,1.572,0
5,0,2,0,0,2.6771,4,2.715,0,1.95,0,8.394,3.802,0,2.885,0
0,0,1,0,1,3.16,0,3.13,0,1.459,0,8.815,4.303,0,1.745,0
1,2,0,2,0,2.6499,2,3.501,0,0.664,0,10.012,4.802,0,1.146,0
2,0,1,0,0,2.9848,1,2.594,0,0.811,0,8.318,4,0,1,0
3,0,0,0,0,4.5744,3,3.49,0,1.776,0,10.007,4.675,0,2.211,0
1,0,1,0,0,3.0785,0,3.764,0,3.284,0,9.867,4.236,0,8.066,1
2,8,0,4,0,1.8029,8,3.915,0,0,2,10.525,4.757,0,4.15,0
1,4,0,4,0,2.0578,4,3.772,0,0,1,10.465,4.933,0,3.08,0
1,0,2,0,0,2.5101,0,2.199,0,0.811,0,8.318,4,0,1,1
2,0,2,0,0,1.9915,0,3.48,0,1.074,0,11.021,5.735,0,1.239,0
0,0,1,0,0,2.5124,1,2.081,0,0.918,0,6.594,3,0,1.333,1
0,0,4,0,0,4.3332,0,3.054,0,1.436,0,10.05,5.102,0,2.695,0
2,11,2,0,1,3.2436,2,3.579,0,1.604,0,10.026,4.799,0,2.211,0
0,0,2,0,0,4.6405,0,4.224,0,0.88,0,12.028,6.496,0,1.166,0
4,5,4,0,0,2.7306,3,3.271,0,1.124,0,10.724,5.461,0,1.306,0
0,0,2,3,0,2.4008,0,3.608,0,1.429,0,10.32,4.924,0,2.904,0
2,22,4,10,1,1.587,18,4.825,0,0.795,0,11.593,5.022,0,8.322,0
1,5,0,3,1,3.0744,2,3.772,0,1.618,0,10.32,4.862,0,2.902,0
1,0,5,0,0,3.5144,0,3.061,0,1.761,0,10.106,5.13,0,2.729,0
1,0,3,2,0,3.1083,0,3.272,0,1.16,0,10.388,5.318,0,1.782,0
0,14,0,5,0,1.767,13,4.435,1,1.073,0,11.072,4.869,0,6.465,0
2,0,3,0,0,3.5378,3,2.988,0,1.891,0,9.202,4.461,0,2.244,0
1,2,1,3,0,3.8121,2,3.739,1,1.197,0,10.666,5.38,0,1.962,0
2,0,4,0,0,3.5612,0,2.756,0,1.379,0,9.874,5.164,0,1.496,0
0,4,0,2,0,2.3043,2,3.86,0,1.632,0,10.181,4.802,0,3.108,0
1,0,3,0,0,2.4699,0,3.186,0,1.16,0,10.099,4.958,0,1.602,0
0,0,2,0,0,2.8492,0,2.938,0,2.281,0,8.743,3.879,0,3.685,0
