f,g,h,I,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x
0,0,4,0,0,0,0,1.163,2,6.954,2,2,2,2.5749,2.125,0,0,1.134,1
0,0,1,0,0,0,0,1.151,4,7.433,0,0,0,3.6085,2.469,0,0,1.122,0
0,1,2,0,0,0,0,1.143,1,8.305,1,1,1,2.9709,1.861,0,0,1.198,0
0,0,0,0,0,9,0,1.093,0,11.055,8,44,16,1.6914,2.055,1,1,1.41,0
0,10,1,0,0,0,0,1.143,4,9.217,0,0,0,4.4911,2.213,0,0,1.181,0
0,0,0,0,0,3,0,1.119,3,8.086,0,0,0,3.1717,1.889,0,0,1.321,0
0,4,2,0,0,2,0,1.129,0,8.322,1,2,2,3.0562,2.773,0,0,1.215,0
0,7,1,0,0,2,0,1.134,2,8.522,1,1,0,3.2952,2.456,0,0,1.205,0
0,8,2,0,0,8,0,1.127,12,9.318,0,0,0,2.7485,2.059,0,0,1.271,0
0,4,2,1,0,2,0,1.14,0,8.506,2,4,4,3.3541,3.133,0,0,1.224,0
0,2,0,0,0,2,0,1.11,1,8.116,0,0,0,3.0422,2.481,0,0,1.299,1
1,4,2,0,0,0,0,1.126,0,12.27,0,0,0,4.3619,3.75,2,0,1.246,0
0,8,1,0,0,2,0,1.119,1,8.567,0,0,0,3.3935,3.09,0,0,1.211,1
0,9,0,0,0,0,0,1.137,6,9.905,0,0,0,5.8726,2.799,6,1,1.225,0
0,0,3,0,0,2,0,1.123,0,8.719,3,8,4,2.6361,2.25,0,0,1.287,0
0,5,0,0,0,0,0,1.142,3,7.95,0,0,0,3.8301,2.143,0,0,1.179,1
0,2,1,0,0,3,0,1.103,0,8.87,0,0,0,3.3877,2.802,2,1,1.321,0
0,0,0,0,0,0,0,1.134,4,14.005,0,0,0,4.0653,1.554,0,0,1.366,0
0,0,0,0,0,0,0,1.146,1,7.174,0,0,0,2.3699,2.083,0,0,1.09,1
0,6,1,0,0,1,0,1.112,0,9.474,0,0,0,3.4619,3.258,0,0,1.246,1
0,6,1,1,0,2,0,1.13,0,8.518,1,2,2,3.5834,3.333,0,0,1.213,0
0,3,1,0,0,2,0,1.125,2,8.152,0,0,0,2.9807,2.197,0,0,1.253,0
0,4,2,0,0,2,0,1.119,0,8.003,0,0,0,3.2643,2.917,0,0,1.223,1
0,4,0,0,0,0,0,1.133,0,9.26,0,0,0,2.9809,2.988,0,0,1.245,0
0,0,0,0,0,4,0,1.09,0,8.609,0,0,0,2.3207,1.859,0,0,1.355,0
0,0,6,0,0,0,0,1.175,2,7.275,4,0,6,2.906,2.2,0,0,1.104,0
0,5,1,0,0,3,0,1.129,3,8.414,0,0,0,3.3527,2.288,0,0,1.23,0
0,15,0,0,0,0,0,1.129,4,9.13,1,3,2,1.781,2.413,0,0,1.225,0
0,3,0,0,0,0,0,1.142,0,7.785,0,0,0,3.6387,2.852,0,0,1.153,1
0,0,2,0,0,0,0,1.162,2,7.228,1,0,2,3.2686,2.75,0,0,1.1,0
0,0,0,0,0,1,0,1.091,0,9.314,0,0,0,2.8489,2.329,2,1,1.421,0
0,4,0,1,0,3,0,1.117,0,9.118,1,2,2,3.5995,3.202,2,1,1.299,0
0,4,1,0,0,5,0,1.119,6,8.961,0,0,0,2.7618,2.04,0,0,1.288,0
0,10,1,1,0,3,0,1.129,1,9.679,1,2,2,3.8121,3.565,0,0,1.221,0
0,0,0,0,0,0,0,1.106,0,9.806,2,2,4,1.7397,1.85,0,0,1.364,0
0,1,1,0,0,0,0,1.146,2,7.087,0,0,0,2.6274,2.056,0,0,1.161,1
0,8,0,0,0,0,0,1.137,2,9.075,0,0,0,3.4435,1.899,0,0,1.208,1
0,10,0,0,0,0,0,1.14,4,8.693,0,0,0,3.7942,2.086,0,0,1.184,1
0,0,2,0,0,3,0,1.117,0,8.863,1,2,2,3.3499,2.58,2,1,1.334,0
0,8,0,0,0,4,1,1.131,5,9.397,2,8,6,2.7525,2.446,2,1,1.26,0
0,17,0,0,0,0,0,1.14,6,8.951,0,0,0,5.6969,2.268,0,0,1.178,1
0,0,2,0,0,3,0,1.107,0,8.528,1,3,2,2.5536,2.077,0,0,1.313,0
0,0,0,0,0,2,0,1.119,0,9.423,2,6,7,1.6864,1.71,0,0,1.308,0
0,10,0,0,0,2,0,1.121,0,8.593,0,0,0,3.3983,2.833,0,0,1.202,1
1,0,0,0,1,3,0,1.087,0,11.612,0,0,0,2.4397,1.981,1,0,1.381,1
0,4,0,0,0,3,0,1.123,0,8.364,0,0,0,3.1976,2.192,0,0,1.248,1
0,0,2,0,0,3,0,1.123,2,8.671,2,6,8,2.1754,1.961,0,0,1.288,0
0,0,0,0,0,3,0,1.089,0,8.805,0,0,0,2.9595,2.101,1,1,1.369,0
0,0,0,0,0,0,0,1.138,0,6.76,0,0,0,2,1.5,0,0,1.167,0
0,2,0,0,0,1,0,1.104,0,7.979,0,0,0,3.0314,2.583,0,0,1.291,1
0,2,1,0,0,0,0,1.141,2,8.216,0,0,0,2.9854,2.05,0,0,1.193,1
0,6,2,0,0,5,0,1.103,0,9.072,1,4,3,2.0631,2.375,0,0,1.304,0
0,18,0,0,0,3,0,1.131,3,9.032,0,0,0,3.2785,2.481,0,0,1.195,1
0,8,0,2,0,2,0,1.141,0,8.854,2,4,4,3.8356,3.611,0,0,1.204,0
0,0,2,0,0,3,1,1.121,0,8.678,3,10,8,2.3407,2.2,0,0,1.285,0
0,0,0,0,0,0,0,1.166,0,6.579,1,0,0,2.6264,2,0,0,1.182,1
0,1,0,0,0,0,0,1.151,1,7.294,0,0,0,3.4453,3.233,0,0,1.112,1
0,2,1,0,0,0,0,1.142,0,7.119,0,0,0,2.18,2.119,0,0,1.149,1
0,4,0,0,0,2,0,1.107,0,8.536,0,0,0,1.9651,1.989,0,0,1.296,0
0,0,0,0,0,2,0,1.107,1,8.454,0,0,0,3.1061,2.181,1,1,1.346,0
0,12,0,0,0,0,0,1.14,0,8.759,3,12,3,3.4839,2.861,0,0,1.224,0
0,4,1,0,0,2,0,1.107,0,8.671,0,0,0,3.303,3.011,1,1,1.268,0
0,2,1,0,0,2,0,1.11,0,8.242,1,2,1,3.1387,2.87,0,0,1.295,1
0,2,3,0,0,1,0,1.13,0,8.319,1,1,2,2.6454,2.764,0,0,1.218,1
1,0,0,0,1,0,0,1.133,2,12.258,0,0,0,2.7496,1.708,2,0,1.306,0
0,10,2,1,0,5,0,1.116,0,9.916,3,10,9,2.1252,2.702,0,0,1.28,0
0,0,0,0,0,0,0,1.125,1,7.821,1,1,3,3.1806,2.095,0,0,1.295,0
0,2,4,0,0,0,0,1.146,0,8.938,3,2,2,4.1851,2.81,0,0,1.233,0
0,8,0,0,0,0,0,1.144,2,8.752,0,0,0,3.7308,2.311,0,0,1.146,1
0,2,1,0,0,0,0,1.148,0,7.746,1,1,1,3.3376,4.111,0,0,1.187,1
0,0,0,0,0,4,0,1.069,0,9.901,2,4,4,1.7012,1.967,0,0,1.455,0
0,8,0,0,0,2,0,1.097,0,8.527,0,0,0,2.8539,2.924,0,0,1.249,1
0,0,1,0,0,2,0,1.129,1,8.005,1,3,2,3.1257,1.981,0,0,1.273,0
0,0,2,0,0,1,0,1.125,0,7.79,1,2,2,3.0837,2.238,0,0,1.282,1
0,12,0,0,0,2,0,1.129,2,8.737,0,0,0,2.9677,2.433,0,0,1.206,1
0,0,0,0,0,4,0,1.11,3,8.68,0,0,0,2.4109,1.875,0,0,1.324,0
0,16,2,0,0,0,0,1.147,6,8.234,0,0,0,4.5704,2.798,0,0,1.132,0
0,3,0,0,0,0,0,1.138,1,8.298,0,0,0,3.1269,1.96,0,0,1.202,1
0,2,2,0,0,0,0,1.175,0,7.353,2,2,0,3.4665,2.944,0,0,1.081,0
0,2,1,0,0,0,0,1.146,3,7.197,0,0,0,3.1402,2.093,0,0,1.16,1
1,0,0,0,1,2,0,1.077,0,12.272,0,0,0,3.1356,2.104,2,0,1.482,0
0,0,0,0,0,2,0,1.114,0,8.6,0,0,0,1.7361,1.722,0,0,1.29,0
0,4,2,0,0,4,0,1.108,0,8.654,0,0,0,2.1796,2.411,0,0,1.276,0
0,6,0,0,0,0,0,1.139,2,7.913,0,0,0,3.7043,2.533,0,0,1.197,1
0,8,0,0,0,0,0,1.14,2,8.67,0,0,0,3.408,2.044,0,0,1.186,1
0,0,1,0,0,4,0,1.128,2,8.928,1,4,4,1.6977,1.73,0,0,1.262,0
0,3,2,0,0,1,0,1.127,0,8.485,1,2,2,2.7203,3,0,0,1.201,1
0,4,0,0,0,2,0,1.116,0,8.192,0,0,0,3.0853,2.583,0,0,1.249,1
0,1,1,0,0,0,0,1.141,2,8.228,0,0,0,2.958,1.685,0,0,1.198,1
0,0,4,0,0,4,0,1.12,0,8.636,2,4,4,2.1649,2.144,0,0,1.293,0
0,10,0,0,0,0,0,1.141,0,8.562,0,0,0,3.9908,2.833,0,0,1.135,1
0,0,0,0,0,0,1,1.152,4,8.44,4,10,10,4.9627,2.792,0,0,1.257,0
0,0,3,0,0,0,0,1.166,1,7.385,3,0,6,2.2821,1.944,0,0,1.129,0
0,0,0,0,0,0,0,1.11,0,8.832,0,0,0,3.6942,3.2,3,0,1.38,0
0,3,3,0,0,3,0,1.14,1,8.47,2,4,5,3.1623,2.59,0,0,1.215,0
0,0,1,0,0,0,0,1.152,0,7.905,3,4,4,2.9588,2.833,0,0,1.251,0
0,0,0,0,0,6,0,1.076,0,9.676,0,0,0,3.9153,2.889,6,1,1.408,0
0,8,0,0,0,4,0,1.099,1,9.912,0,0,0,2.5976,2.293,2,1,1.36,0
0,2,0,0,0,3,0,1.118,1,8.667,2,5,4,3.4872,2.923,0,0,1.275,0
0,3,0,0,0,0,0,1.144,1,7.713,0,0,0,2.9065,2.929,0,0,1.119,1
0,2,1,0,0,0,0,1.143,3,8.261,2,6,5,3.0252,2.439,0,0,1.235,0
0,0,0,0,0,0,0,1.144,2,6.741,0,0,0,2.4475,1.643,0,0,1.195,1
0,3,1,0,0,3,0,1.127,3,8.63,1,4,3,2.8874,2.556,0,0,1.264,0
0,0,0,0,0,2,0,1.121,2,8.015,0,0,0,2.8711,1.833,0,0,1.283,0
0,0,0,0,0,2,0,1.094,0,8.428,0,0,0,2.4571,1.944,0,0,1.336,1
0,2,1,0,0,2,0,1.125,3,8.244,0,0,0,3.1083,2.235,0,0,1.263,0
0,4,0,1,0,1,0,1.125,0,8.405,1,2,2,3.3706,3.074,0,0,1.241,0
0,4,2,0,0,0,0,1.142,1,8.27,0,0,0,3.1398,2.214,0,0,1.173,1
0,6,2,0,0,6,0,1.104,0,9.249,0,0,0,2.4328,2.572,2,1,1.305,0
0,0,1,0,0,4,0,1.128,0,8.919,3,8,6,2.2838,2.067,0,0,1.281,0
0,2,1,0,0,3,0,1.103,0,8.87,0,0,0,3.3873,2.802,2,1,1.318,0
0,6,1,0,0,3,0,1.123,1,8.362,0,0,0,3.2685,2.75,0,0,1.22,1
0,6,3,0,0,0,0,1.177,0,8.205,3,3,0,3.09,3.722,0,0,1.126,0
0,6,1,1,0,3,0,1.132,1,8.601,1,3,2,3.552,3.182,0,0,1.226,0
0,0,1,0,0,0,0,1.16,1,6.634,0,0,0,2.5915,2.9,0,0,1.065,1
0,1,0,0,0,0,0,1.134,3,7.714,0,0,0,3.7375,2.619,0,0,1.258,1
0,0,0,0,0,0,0,1.152,1,7.32,1,0,3,2.3906,1.875,0,0,1.131,0
1,2,1,0,1,6,0,1.051,0,13.184,0,0,0,3.8407,2.479,5,0,1.542,0
0,0,2,0,0,0,0,1.166,2,6.32,0,0,0,2.2525,3.75,0,0,0.98,1
0,0,2,0,0,2,0,1.121,0,8.463,1,2,2,3.1562,2.431,1,1,1.308,0
0,0,4,0,0,3,0,1.14,1,8.111,2,5,4,3.2576,2.333,0,0,1.254,0
0,0,0,0,0,0,0,1.142,2,7.253,0,0,0,2.6909,1.591,0,0,1.201,1
0,14,0,0,0,0,0,1.146,10,8.553,0,0,0,4.9583,2.1,0,0,1.164,0
0,4,1,0,0,2,0,1.116,1,8.277,0,0,0,3.1573,2.8,0,0,1.248,1
0,0,0,0,0,0,0,1.119,1,7.933,0,0,0,2.289,1.704,0,0,1.324,0
0,0,0,0,0,0,0,1.132,1,7.775,0,0,0,2.4441,2.653,1,1,1.291,1
0,1,0,0,0,0,0,1.146,1,8.172,0,0,0,3.5181,3.296,1,1,1.174,1
0,4,0,0,0,2,0,1.116,0,8.192,0,0,0,3.1788,2.583,0,0,1.246,1
0,3,1,0,0,3,0,1.113,1,8.562,0,0,0,3.3157,2.568,1,1,1.295,0
0,4,0,0,0,0,0,1.139,1,7.73,0,0,0,3.4572,2.63,0,0,1.181,1
0,0,0,0,0,3,0,1.09,0,9.097,0,0,0,3.4643,2.593,3,1,1.388,0
0,4,2,1,0,2,0,1.14,0,8.508,2,4,4,3.5484,3.133,0,0,1.225,0
0,8,0,0,0,0,0,1.133,5,8.917,1,4,3,1.9708,2.067,0,0,1.234,0
1,0,0,0,0,0,0,1.136,2,11.561,0,0,0,1.7389,2.083,1,0,1.383,0
0,12,0,0,0,4,0,1.105,0,9.377,2,4,8,1.5353,2.623,0,0,1.286,0
0,0,1,0,0,0,0,1.174,0,5.834,1,0,0,1.8227,2.167,0,0,1.126,1
0,8,0,2,0,4,0,1.121,0,9.15,2,6,4,3.1674,3.167,0,0,1.262,0
0,5,0,0,0,0,0,1.139,4,8.085,0,0,0,4.4958,2.608,0,0,1.22,0
0,0,2,0,0,0,0,1.149,0,7.083,1,2,2,2.1543,1.833,0,0,1.165,1
0,8,0,1,0,6,0,1.105,0,9.572,1,2,2,2.6068,2.833,3,1,1.308,0
0,9,0,0,0,3,0,1.104,0,8.899,0,0,0,2.5259,2.546,0,0,1.269,0
0,2,1,0,0,2,0,1.12,1,8.009,0,0,0,3.0034,2.315,0,0,1.256,1
0,1,0,0,0,0,0,1.141,1,8.252,1,1,1,2.9644,1.905,0,0,1.207,0
0,8,2,0,0,8,0,1.124,8,9.14,0,0,0,2.605,2.133,0,0,1.277,0
0,0,4,0,0,0,0,1.154,2,7.476,2,4,2,2.2806,1.967,0,0,1.159,0
0,12,4,0,0,5,0,1.116,0,10.203,1,2,2,3.254,3.377,0,0,1.251,0
0,4,2,1,0,3,0,1.137,0,8.892,2,4,4,3.6277,3.192,1,1,1.249,0
0,6,1,0,0,0,0,1.142,2,8.001,0,0,0,4.0026,2.967,0,0,1.161,1
0,12,6,0,0,8,0,1.119,0,10.384,2,4,4,2.9683,3.308,2,1,1.262,0
0,6,0,0,0,0,0,1.14,2,8.622,0,0,0,3.5408,2.083,0,0,1.181,1
0,6,4,0,0,0,0,1.156,0,8.152,0,0,0,4.4275,4.4,0,0,1.036,1
0,4,1,0,0,2,0,1.122,0,8.058,0,0,0,3.1517,2.537,0,0,1.214,1
0,8,6,0,0,0,0,1.16,2,7.88,0,0,0,4.2631,3.694,0,0,1.011,1
0,0,0,0,0,0,0,1.132,1,8.732,0,0,0,2.8657,3.417,3,0,1.376,0
0,13,4,0,0,6,0,1.112,0,8.952,0,0,0,2.5397,3.037,0,0,1.222,0
0,2,1,0,0,0,0,1.136,3,7.975,0,0,0,2.5728,2.068,0,0,1.211,1
0,12,0,0,0,2,0,1.133,4,8.984,0,0,0,2.4853,2.144,0,0,1.22,1
0,4,1,0,0,0,0,1.139,1,7.676,0,0,0,3.8122,3.556,0,0,1.179,1
0,0,0,0,0,2,0,1.101,0,8.437,2,4,2,3.3085,2.833,0,0,1.35,0
0,8,0,2,0,3,0,1.137,0,9.141,2,4,4,3.7801,3.624,1,1,1.231,0
0,5,0,0,0,2,0,1.098,0,14.223,0,0,0,2.6198,2.326,2,1,1.412,0
0,1,1,0,0,0,0,1.152,2,6.702,0,0,0,2.6683,2.567,0,0,1.103,1
0,21,0,0,0,0,0,1.14,0,9.278,3,9,3,3.3732,3.083,0,0,1.178,0
0,4,1,0,0,4,0,1.131,9,8.78,0,0,0,3.7026,2.022,0,0,1.265,0
0,9,2,0,0,0,0,1.146,4,8.583,1,1,1,4.3397,2.157,0,0,1.225,0
0,4,0,1,0,2,0,1.127,1,8.499,1,3,2,3.5053,2.933,0,0,1.254,0
1,0,0,0,1,1,0,1.094,0,11.589,0,0,0,2.8827,2.046,1,0,1.389,0
0,0,0,0,0,0,0,1.128,2,7.909,0,0,0,3.4629,2.033,0,0,1.288,1
0,2,1,0,0,3,0,1.103,0,8.872,0,0,0,3.4781,2.802,2,1,1.317,0
1,0,0,0,0,0,0,1.131,2,11.578,0,0,0,2.3247,2.272,2,1,1.338,0
0,0,0,0,0,2,0,1.089,0,8.879,1,2,2,3.0585,2.019,0,0,1.408,0
0,10,1,2,0,3,0,1.145,0,8.927,2,4,4,3.7881,3.769,0,0,1.185,0
0,0,4,0,0,4,0,1.121,0,8.577,2,6,4,2.9965,2.222,0,0,1.301,0
0,0,0,0,0,2,0,1.094,0,8.792,0,0,0,3.2349,2.444,2,1,1.377,0
0,0,0,0,0,0,0,1.099,0,9.796,0,0,0,2.1119,2.366,6,1,1.378,0
0,0,1,0,0,0,0,1.151,4,7.316,1,2,4,3.4355,1.796,0,0,1.173,0
0,2,0,0,0,0,0,1.136,3,7.914,0,0,0,2.6157,2.175,0,0,1.252,0
0,0,1,0,0,6,0,1.108,4,9.379,1,4,4,1.5321,1.903,0,0,1.315,0
0,8,2,0,0,2,0,1.118,0,9.513,0,0,0,3.4571,3.477,0,0,1.219,1
0,0,0,0,0,3,0,1.085,0,9.487,0,0,0,1.9758,1.99,1,1,1.424,0
0,4,2,0,0,4,0,1.104,0,8.634,0,0,0,2.4429,2.476,0,0,1.277,0
0,6,0,1,0,2,0,1.132,0,8.551,1,2,2,3.6002,2.985,0,0,1.21,0
1,6,2,0,0,0,0,1.136,4,12.258,0,0,0,4.066,2.75,2,0,1.25,0
0,2,0,0,0,1,0,1.12,1,7.928,0,0,0,2.898,2.074,0,0,1.252,1
0,0,0,0,0,0,0,1.14,2,8.194,0,0,0,2.4664,2.31,1,1,1.169,0
0,0,1,0,0,4,0,1.09,0,8.933,1,4,4,2.2477,1.929,0,0,1.366,0
0,9,3,0,0,0,0,1.156,4,7.385,0,0,0,3.8422,3.219,0,0,1.063,0
0,0,0,0,0,0,0,1.116,0,8.386,1,1,2,3.2871,2.397,1,1,1.323,0
0,0,0,0,0,0,0,1.116,0,7.6,0,0,0,3.4245,2.3,0,0,1.332,0
0,0,1,0,0,0,0,1.141,3,8.986,0,0,0,4.4339,3.104,3,1,1.264,0
0,8,1,1,0,2,0,1.127,0,8.704,1,2,2,3.4294,3.5,0,0,1.199,0
0,0,1,0,0,2,0,1.113,0,9.301,2,4,5,1.7802,1.824,0,0,1.339,0
0,4,0,0,0,0,2,1.184,0,8.314,6,10,4,2.3933,2.731,0,0,1.136,1
0,5,0,0,0,6,0,1.12,3,14.019,0,0,0,3.3983,2.159,5,1,1.391,0
1,0,0,0,0,0,0,1.116,2,12.252,0,0,0,2.1303,2.125,2,0,1.5,0
0,10,0,0,0,0,0,1.131,2,9.752,0,0,0,5.2824,2.709,0,0,1.244,0
0,10,0,0,0,8,0,1.12,4,9.237,0,0,0,1.6801,2,0,0,1.234,0
0,1,0,0,0,0,0,1.139,1,7.543,0,0,0,3.7074,3.194,0,0,1.186,1
0,2,1,0,0,0,0,1.128,0,7.808,1,1,2,2.8688,2.738,0,0,1.25,1
1,1,2,0,0,0,0,1.13,0,12.275,2,2,2,4.4887,3.49,2,0,1.359,0
0,12,5,0,0,0,0,1.155,0,9.993,4,7,4,2.3629,3.182,0,0,1.154,1
0,9,0,0,0,0,0,1.152,0,8.883,3,11,1,4.467,2.131,0,0,1.239,0
0,2,0,0,0,2,0,1.114,2,8.251,0,0,0,3.031,2.4,0,0,1.294,1
0,4,3,0,0,0,0,1.147,1,7.915,1,2,1,2.3537,2.621,0,0,1.141,0
0,9,0,0,0,0,0,1.155,0,8.962,0,0,0,4.6932,3.038,0,0,1.136,0
0,3,0,0,0,0,0,1.144,1,7.868,1,1,1,3.6459,3.208,0,0,1.205,1
0,1,0,0,0,0,0,1.146,1,6.735,0,0,0,2.3729,3.125,0,0,1.142,1
1,10,1,0,1,4,0,1.092,0,11.664,1,5,4,2.0284,2.525,1,0,1.327,0
0,14,0,0,0,0,0,1.144,9,8.624,0,0,0,3.4572,2.04,0,0,1.185,0
0,2,0,0,0,1,0,1.11,0,8.158,0,0,0,2.3414,2,0,0,1.243,1
0,8,0,0,0,0,0,1.138,2,9.204,0,0,0,3.3815,1.855,0,0,1.206,1
0,6,1,0,0,0,0,1.139,3,8.164,0,0,0,2.3194,2.097,0,0,1.182,0
0,3,0,0,0,0,0,1.127,0,8.148,0,0,0,2.0546,1.974,0,0,1.236,0
0,1,1,0,0,0,0,1.15,2,6.649,0,0,0,2.4062,2.333,0,0,1.134,1
0,0,0,0,0,3,0,1.103,1,8.857,0,0,0,3.3045,2.358,2,1,1.366,0
0,0,4,0,0,8,0,1.113,0,9.615,2,4,4,2.4912,2.488,4,1,1.336,0
0,0,0,0,0,1,0,1.109,0,8.128,1,1,1,2.7667,2.407,0,0,1.339,1
1,0,0,0,0,0,0,1.286,2,12.274,0,0,0,4.8079,5,6,0,1.138,0
0,1,1,0,0,1,0,1.114,1,8.061,0,0,0,2.7124,2.317,0,0,1.268,1
0,0,3,0,0,0,1,1.157,2,8.427,3,2,4,4.0038,2.563,0,0,1.25,0
0,0,2,0,0,0,1,1.187,0,6.636,2,0,2,2.7345,2.5,0,0,1.104,0
0,3,0,0,0,0,0,1.139,1,7.788,0,0,0,3.3652,2.517,0,0,1.186,1
0,4,0,1,0,2,0,1.129,1,8.521,1,3,2,3.4085,2.803,0,0,1.241,0
0,2,0,0,0,0,0,1.146,2,7.135,0,0,0,2.8492,1.833,0,0,1.169,0
0,24,3,0,0,12,0,1.131,18,9.972,3,15,3,2.0841,2.281,0,0,1.248,0
0,0,0,0,0,0,0,1.128,2,7.92,0,0,0,2.4954,1.817,0,0,1.272,1
0,6,2,0,0,2,0,1.117,0,8.3,0,0,0,3.1445,3.2,0,0,1.207,1
0,6,1,0,0,2,0,1.109,0,8.508,1,2,2,2.8025,2.833,0,0,1.261,1
0,4,0,1,0,3,0,1.184,1,9.077,1,3,2,3.7849,4.026,4,1,1.15,0
0,8,0,2,0,3,0,1.14,1,8.914,2,4,4,3.8515,3.462,0,0,1.216,0
0,2,1,0,0,2,0,1.132,1,8.486,0,0,0,1.8048,1.833,0,0,1.236,1
0,2,1,0,0,3,0,1.11,1,8.592,0,0,0,3.1806,2.283,0,0,1.306,0
0,8,0,0,0,1,0,1.126,3,8.491,0,0,0,2.9658,2.47,0,0,1.217,0
0,0,0,0,0,2,0,1.104,0,8.189,0,0,0,3.1972,2.133,0,0,1.335,0
0,12,0,0,0,0,0,1.139,8,9.921,0,0,0,3.7046,2.108,0,0,1.532,1
0,0,0,0,0,0,0,1.149,1,6.578,0,0,0,2.311,3.667,0,0,1.177,1
0,0,2,0,0,1,0,1.129,1,7.884,1,1,1,2.6422,2.074,0,0,1.266,1
0,8,0,2,0,3,0,1.14,1,8.914,2,5,4,3.7359,3.462,0,0,1.216,0
